,Cargo Variable Pico,$/MWh,"209,41"
0,Cargo Variable Resto,$/MWh,"200,81"
1,Cargo Variable Valle,$/MWh,"192,19"
2,Servicio de rehabilitación,,
3,Tarifa 1 - R1,$,"138,69"
4,Tarifa 1 - G y AP,$,"839,70"
5,Tarifa 2 y Tarifa 3,$,"1.845,66"
6,Conexiones domiciliarias,,
7,Comunes,,
8,Aéreas monofásicas,$,"1.005,01"
9,Subterráneas,$,"2.250,30"
10,Aéreas trifásicas,$,"1.370,97"
11,Subterráneas Trifásicas,$,"3.440,37"
12,Especiales,,
13,Aéreas monofásicas,$,"1.267,60"
14,Subterráneas,$,"4.078,46"
15,Aéreas trifásicas,$,"2.233,28"
16,Subterráneas Trifásicas,$,"4.216,53"
17,CARGOS POR CONTRASTE DE MEDIDORES DE ENERGÍA,,
18,MONOFÁSICO,,
19,Pequeñas in situ,$,"151,09"
20,Pequeñas en Laboratorio,$,"188,86"
21,TRIFÁSICO,,
22,Pequeñas in situ,$,"226,62"
23,Pequeñas en Laboratorio,$,"339,95"
24,Medianas y grandes demandas in situ,$,"839,36"
25,Medianas y grandes demandas en Laboratorio,$,"1.133,14"
26,COSTO DE LA ENERGÍA NO SUMINISTRADA,,
27,CENS T1,$/kWh,"34,12"
28,CENS T2 y T3,$/kWh,"138,49"
29,RECARGOS POR BAJO COSENO DE FI,,
30,SUMINISTROS EN BAJA TENSIÓN,$/kvarh,"0,6774"
31,SUMINISTROS EN MEDIA TENSIÓN,$/kvarh,"0,6774"
32,SUMINISTROS EN ALTA TENSIÓN,$/kvarh,"0,6774"
