,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1792 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1714 $/kWh"
1,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2332 $/kWh"
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2236 $/kWh"
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,214 $/kWh"
5,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
6,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2332 $/kWh"
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2236 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,214 $/kWh"
9,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2332 $/kWh"
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2236 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,214 $/kWh"
13,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5567 $/kWh"
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5564 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5561 $/kWh"
17,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2341 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2245 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2149 $/kWh"
21,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5573 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5568 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5568 $/kWh"
25,T - SUMINISTROS EN MEDIA TENSIÓN,
26,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
27,CARGO FIJO,"552,99 $/mes"
28,CARGO POR POTENCIA EN PICO,"350,65 $/kW-mes"
29,CARGO POR POTENCIA FUERA PICO,"235,36 $/kW-mes"
30,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
31,CARGO FIJO,"442,02 $/mes"
32,CARGO POR POTENCIA EN PICO,"8 4,34 $/kW-mes"
33,CARGO POR POTENCIA FUERA PICO,"3 6,15 $/kW-mes"
34,GOS VARIABLES,
35,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
39,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
43,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
47,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
51,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
55,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
59,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
60,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3374 $/kWh"
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3372 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3370 $/kWh"
63,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
64,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1422 $/kWh"
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1362 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1307 $/kWh"
67,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3383 $/kWh"
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3378 $/kWh"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3375 $/kWh"
71,T - SUMINISTROS EN ALTA TENSIÓN,
72,CARGO FIJO,$/mes
73,CARGO POR POTENCIA EN PICO,$/kW-mes
74,CARGO POR POTENCIA FUERA PICO,$/kW-mes
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
78,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,
79,T - SUMINISTROS EN BAJA TENSIÓN,
80,CARGO FIJO,"935,14 $/mes"
