,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1,3716 $/kWh"
0,CARGO FIJO T4R1,"600,28 $/mes"
1,CARGO VARIABLE T4R1 (150 < consumo en kWH-Mes ≤ 300),"3,5150 $/kWh"
2,CARGO FIJO T4R1,"600,28 $/mes"
3,CARGO VARIABLE T4R1 (300 < consumo en kWH-Mes ≤ 500),"4,7812 $/kWh"
4,CARGO FIJO T4R2,"824,69 $/mes"
5,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"5,1052 $/kWh"
6,CARGO FIJO T4R3,"1.057,56 $/mes"
7,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"5,3916 $/kWh"
8,CARGO FIJO T4R4,"1.205,74 $/mes"
9,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"5,8413 $/kWh"
10,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
11,5 KVA monofásico,27 kWh/mes
12,10 KVA monofásico,43 kWh/mes
13,15 KVA monofásico,52 kWh/mes
14,16 KVA monofásico,57 kWh/mes
15,10 KVA trifásico,70 kWh/mes
16,15 KVA trifásico,86 kWh/mes
17,16 KVA trifásico,91 kWh/mes
18,20 KVA trifásico,108 kWh/mes
19,25 KVA trifásico,124 kWh/mes
20,30 KVA trifásico,136 kWh/mes
21,40 KVA trifásico,166 kWh/mes
22,50 KVA trifásico,186 kWh/mes
23,63 KVA trifásico,216 kWh/mes
24,100 KVA trifásico,251 kWh/mes
25,RVICIO DE PEAJE( para Distribuidores Municipales),
26,T - SUMINISTROS EN BAJA TENSIÓN,
27,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
28,CARGO FIJO,"279,45 $/mes"
29,CARGO POR POTENCIA EN PICO,"172,05 $/kW-mes"
30,CARGO POR POTENCIA FUERA PICO,"73,74 $/kW-mes"
31,GOS VARIABLES,
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
33,Consumo en kWH-Mes primeros 150,
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0231 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0231 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0231 $/kWh"
37,Consumo en kWH-Mes siguientes 150,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1050 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1012 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0973 $/kWh"
41,Consumo en kWH-Mes excedente a 300,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1870 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1792 $/kWh"
