,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,0375",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,0315",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,0256",$/kWh
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,0494",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,0449",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,0388",$/kWh
6,- SUMINISTROS EN MEDIA TENSIÓN,,
7,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
8,CARGO FIJO,"2.061,53",$/mes
9,CARGO POR POTENCIA EN PICO,"520,38",$/kW-
10,CARGO POR POTENCIA FUERA PICO,"334,09",$/kW-
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
12,CARGO FIJO,"1.811,50",$/mes
13,CARGO POR POTENCIA EN PICO,"299,73",$/kW-
14,CARGO POR POTENCIA FUERA PICO,"128,46",$/kW-
15,GOS VARIABLES,,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
36,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
