,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6813 $/kWh"
0,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8797 $/kWh"
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8737 $/kWh"
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,8680 $/kWh"
4,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8927 $/kWh"
6,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8882 $/kWh"
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,8824 $/kWh"
8,- SUMINISTROS EN ALTA TENSIÓN,
9,CARGO FIJO,"1.653,16 $/mes"
10,CARGO POR POTENCIA EN PICO,"202,08 $/kW-mes"
11,CARGO POR POTENCIA FUERA PICO,"137,70 $/kW-mes"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,5109 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,5053 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,5181 $/kWh"
15,EÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
16,PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
17,CARGO FIJO T4R1,"461,30 $/mes"
18,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"10,8791 $/kWh"
19,CARGO FIJO T4R2,"592,51 $/mes"
20,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"11,0888 $/kWh"
21,CARGO FIJO T4R3,"722,22 $/mes"
22,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"11,2999 $/kWh"
23,CARGO FIJO T4R4,"815,31 $/mes"
24,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"11,6173 $/kWh"
25,- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
26,CARGO FIJO T4NR1,"461,30 $/mes"
27,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"11,0216 $/kWh"
28,CARGO FIJO T4NR2,"592,51 $/mes"
29,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"11,2653 $/kWh"
30,CARGO FIJO T4NR3,"722,22 $/mes"
31,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"11,5099 $/kWh"
32,CARGO FIJO T4NR4,"815,31 $/mes"
33,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"11,8871 $/kWh"
34,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
35,5 KVA monofásico,27 kWh/mes
36,10 KVA monofásico,43 kWh/mes
37,15 KVA monofásico,52 kWh/mes
38,16 KVA monofásico,57 kWh/mes
39,10 KVA trifásico,70 kWh/mes
40,15 KVA trifásico,86 kWh/mes
41,16 KVA trifásico,91 kWh/mes
42,20 KVA trifásico,108 kWh/mes
43,25 KVA trifásico,124 kWh/mes
44,30 KVA trifásico,136 kWh/mes
