,CARGO POR POTENCIA EN PICO,"481,39",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"308,06",$/kW-mes
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,0877",$/kWh
2,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"8,1231",$/kWh
3,- SUMINISTROS EN MEDIA TENSIÓN,,
4,CARGO FIJO,"1.926,41",$/mes
5,CARGO POR POTENCIA EN PICO,"387,26",$/kW-mes
6,CARGO POR POTENCIA FUERA PICO,"267,73",$/kW-mes
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8977",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"7,9290",$/kWh
9,NDES DEMANDAS,,
10,- SUMINISTROS EN BAJA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
12,CARGO FIJO,"1.233,19",$/mes
13,CARGO POR POTENCIA EN PICO,"652,46",$/kW-mes
14,CARGO POR POTENCIA FUERA PICO,"381,36",$/kW-mes
15,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
16,CARGO FIJO,"1.041,92",$/mes
17,CARGO POR POTENCIA EN PICO,"376,61",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"161,40",$/kW-mes
19,GOS VARIABLES,,
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
