,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8115",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8056",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,7996",$/kWh
2,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,9931",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,9873",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,9812",$/kWh
6,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,0072",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,0017",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,9955",$/kWh
10,- SUMINISTROS EN MEDIA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
12,CARGO FIJO,"1.796,58",$/mes
13,CARGO POR POTENCIA EN PICO,"542,41",$/kW-
14,CARGO POR POTENCIA FUERA PICO,"334,22",$/kW-
15,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
16,CARGO FIJO,"1.578,68",$/mes
17,CARGO POR POTENCIA EN PICO,"311,51",$/kW-
18,CARGO POR POTENCIA FUERA PICO,"133,50",$/kW-
19,GOS VARIABLES,,
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,6094",$/kWh
44,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6210",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6152",$/kWh
