,"CARGO POR POTENCIA EN PICO 390,62 $/kW-mes"
0,"CARGO POR POTENCIA FUERA PICO 167,41 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
2,"CARGO FIJO 198,58 $/mes"
3,"CARGO POR POTENCIA EN PICO 124,67 $/kW-mes"
4,"CARGO POR POTENCIA FUERA PICO 5 3,43 $/kW-mes"
5,GOS VARIABLES
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,199 $/kWh"
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1907 $/kWh"
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1824 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2483 $/kWh"
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2381 $/kWh"
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2278 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,199 $/kWh"
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1907 $/kWh"
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1824 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2483 $/kWh"
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2381 $/kWh"
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2278 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2483 $/kWh"
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2381 $/kWh"
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2278 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2483 $/kWh"
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2381 $/kWh"
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2278 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda)
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,5927 $/kWh"
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,5924 $/kWh"
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,5920 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
