,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8463 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8404 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,8344 $/kWh"
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8579 $/kWh"
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8538 $/kWh"
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,8480 $/kWh"
6,- SUMINISTROS EN ALTA TENSIÓN,
7,CARGO FIJO,$/mes
8,CARGO POR POTENCIA EN PICO,$/kW-me
9,CARGO POR POTENCIA FUERA PICO,$/kW-me
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
13,EÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
14,PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
15,CARGO FIJO T4R1,"582,78 $/mes"
16,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"10,8741 $/kWh"
17,CARGO FIJO T4R2,"766,71 $/mes"
18,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"11,1900 $/kWh"
19,CARGO FIJO T4R3,"957,59 $/mes"
20,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"11,6723 $/kWh"
21,CARGO FIJO T4R4,"1.079,08 $/mes"
22,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"12,2072 $/kWh"
23,- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
24,CARGO FIJO T4NR1,"582,78 $/mes"
25,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"11,0165 $/kWh"
26,CARGO FIJO T4NR2,"766,71 $/mes"
27,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"11,3665 $/kWh"
28,CARGO FIJO T4NR3,"957,59 $/mes"
29,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"11,8823 $/kWh"
30,CARGO FIJO T4NR4,"1.079,08 $/mes"
31,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"12,4770 $/kWh"
32,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
33,5 KVA monofásico,27 kWh/mes
34,10 KVA monofásico,43 kWh/mes
35,15 KVA monofásico,52 kWh/mes
36,16 KVA monofásico,57 kWh/mes
37,10 KVA trifásico,70 kWh/mes
38,15 KVA trifásico,86 kWh/mes
39,16 KVA trifásico,91 kWh/mes
