,CARGO FIJO R1,Unnamed: 0,"143,17",$/mes
0,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),,"5,1785",$/kWh
1,CARGO FIJO R2,,"219,10",$/mes
2,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),,"5,4331",$/kWh
3,CARGO FIJO R3,,"298,77",$/mes
4,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),,"5,8641",$/kWh
5,CARGO FIJO R4,,"370,87",$/mes
6,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),,"6 ,2093",$/kWh
7,CARGO FIJO R5,,"594,81",$/mes
8,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),,"6,4876",$/kWh
9,CARGO FIJO R6,,"962,93",$/mes
10,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),,"6,8922",$/kWh
11,CARGO FIJO R7,,"1.175,45",$/mes
12,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),,"7,4429",$/kWh
13,E - RESIDENCIAL ESTACIONAL,,,
14,CARGO FIJO RE1,,"583,32",$/mes
15,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"4,9168",$/kWh
16,CARGO FIJO RE2,,"659,22",$/mes
17,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"5,2982",$/kWh
18,CARGO FIJO RE3,,"738,93",$/mes
19,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"5,6054",$/kWh
20,CARGO FIJO RE4,,"811,03",$/mes
21,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"6,1518",$/kWh
22,- SERVICIO GENERAL BAJOS CONSUMOS,,,
23,CARGO FIJO GBC,,"575,38",$/mes
24,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"8,4472",$/kWh
25,- SERVICIO GENERAL ALTOS CONSUMOS,,,
26,CARGO FIJO GAC1,,"2.702,61",$/mes
27,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"6,9691",$/kWh
28,CARGO FIJO GAC2,,"3.514,74",$/mes
29,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"6,9861",$/kWh
30,E - SERVICIO GENERAL ESTACIONAL,,,
31,CARGO FIJO GE1,,"974,14",$/mes
32,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"6,9387",$/kWh
33,CARGO FIJO GE2,,"1.176,38",$/mes
34,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"7,2840",$/kWh
35,P - ALUMBRADO PÚBLICO,,,
36,CARGO FIJO,,"254,15",$/factura
37,CARGO VARIABLE,,"6,3351",$/kWh
38,EDIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
39,T -SUMINISTROS EN BAJA TENSIÓN,,,
40,CARGO FIJO,,"1.551,15",$/mes
41,CARGO POR POTENCIA EN PICO,,"408,53",$/kW-mes
42,CARGO POR POTENCIA FUERA PICO,,"299,22",$/kW-mes
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"4,1037",$/kWh
44,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"3,9734",$/kWh
45,T - SUMINISTROS EN MEDIA TENSIÓN,,,
46,CARGO FIJO,,"2.350,22",$/mes
47,CARGO POR POTENCIA EN PICO,,"301,30",$/kW-mes
48,CARGO POR POTENCIA FUERA PICO,,"253,28",$/kW-mes
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"4,0126",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"3,8814",$/kWh
51,RANDES DEMANDAS,,,
52,T - SUMINISTROS EN BAJA TENSIÓN,,,
53,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,,
54,CARGO FIJO,,"1.504,49",$/mes
55,CARGO POR POTENCIA EN PICO,,"559,26",$/kW-mes
56,CARGO POR POTENCIA FUERA PICO,,"363,80",$/kW-mes
57,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,,
58,CARGO FIJO,,"1.271,14",$/mes
