,"CARGO POR POTENCIA EN PICO 427,53 $/kW-mes"
0,"CARGO POR POTENCIA FUERA PICO 307,37 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
2,"CARGO FIJO 1.925,99 $/mes"
3,"CARGO POR POTENCIA EN PICO 145,82 $/kW-mes"
4,"CARGO POR POTENCIA FUERA PICO 6 2,50 $/kW-mes"
5,GOS VARIABLES
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 2,9459 $/kWh"
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 2,8232 $/kWh"
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 2,7005 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 2,9459 $/kWh"
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 2,8232 $/kWh"
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 2,7005 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda)
