,CARGO FIJO,"814,94 $/mes"
0,CARGO POR POTENCIA EN PICO,"207,98 $/kW-mes"
1,CARGO POR POTENCIA FUERA PICO,"8 9,13 $/kW-mes"
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3474 $/kWh"
3,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,3370 $/kWh"
4,T - SUMINISTROS EN MEDIA TENSIÓN,
5,CARGO FIJO,"1.614,44 $/mes"
6,CARGO POR POTENCIA EN PICO,"123,16 $/kW-mes"
7,CARGO POR POTENCIA FUERA PICO,"5 2,74 $/kW-mes"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2554 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,2494 $/kWh"
10,GOS POR BAJO COSENO DE FI,
11,SUMINISTROS EN BAJA TENSIÓN,"0,8264 $/kvarh"
12,SUMINISTROS EN MEDIA TENSIÓN,"0,8264 $/kvarh"
13,SUMINISTROS EN ALTA TENSIÓN,"0,8264 $/kvarh"
14,IO DE REHABILITACION,
15,A SERVICIO INTERRUMPIDO POR FALTA DE PAGO,
16,TARIFA T1R,"152,60 $"
17,TARIFA T1RE,"228,70 $"
18,TARIFA T1G BC y AC,"900,54 $"
19,TARIFA T1GE,"900,54 $"
20,TATIFA 1AP,"900,54 $"
21,TARIFAS 2,"2.213,51 $"
22,TARIFAS 3,"2.766,76 $"
23,TARIFA 4,"900,54 $"
24,POR SERVICIO DE CONEXION,
25,EXIONES AEREAS,
26,MONOFASICAS,
27,TARIFA T1R,"1.214,34 $"
28,TARIFA T1RE,"1.291,66 $"
29,TARIFA T1G BC,"1.460,90 $"
30,TARIFA T1G AC,"1.460,90 $"
31,TARIFA T1GE,"2.071,01 $"
32,TATIFA 1AP,"1.460,90 $"
33,TARIFAS 2,- $
34,TARIFAS 3,- $
35,TARIFA 4,"1.614,47 $"
36,TRIFASICAS,
37,TARIFA T1R,"2.772,55 $"
38,TARIFA T1RE,"3.496,25 $"
39,TARIFA T1G BC,"4.447,15 $"
40,TARIFA T1G AC,"4.447,15 $"
