,TARIFA T1GE,"5.607,40",$
0,TATIFA 1AP,"4.447,15",$
1,TARIFAS 2,"6.680,69",$
2,TARIFAS 3,"10.021,05",$
3,TARIFA 4,"4.369,19",$
4,NEXIONES SUBTERRANEAS,,
5,MONOFASICAS,,
6,TARIFA T1R,"2.772,55",$
7,TARIFA T1RE,"3.496,25",$
8,TARIFA T1G BC,"4.447,15",$
9,TARIFA T1G AC,"4.447,15",$
10,TARIFA T1GE,"5.607,40",$
11,TATIFA 1AP,"4.447,15",$
12,TARIFAS 2,-,$
13,TARIFAS 3,-,$
14,TARIFA 4,"4.369,19",$
15,TRIFASICAS,,
16,TARIFA T1R,"3.674,46",$
17,TARIFA T1RE,"4.231,10",$
18,TARIFA T1G BC,"5.892,38",$
19,TARIFA T1G AC,"5.892,38",$
20,TARIFA T1GE,"6.785,30",$
21,TATIFA 1AP,"5.892,38",$
22,TARIFAS 2,"9.464,39",$
23,TARIFAS 3,"14.252,17",$
24,TARIFA 4,"5.288,93",$
25,GOS POR CONTRASTE DE MEDIDORES DE ENERGIA,,
26,MONOFASICO,,
27,Pequeñas in situ,"185,97",$
28,Pequeñas en Laboratorio,"232,46",$
29,TRIFASICO,-,
30,Pequeñas in situ,"278,93",$
31,Pequeñas en Laboratorio,"418,42",$
32,Medianas y grandes demandas in situ,"1.033,11",$
33,Medianas y grandes demandas en Laboratorio,"1.394,72",$
