,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3082",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2163",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1244",$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875",$/kWh
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3082",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2163",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1244",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875",$/kWh
18,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875",$/kWh
22,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,8088",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,4883",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,1667",$/kWh
26,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,7768",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,6753",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,5742",$/kWh
30,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,0085",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6893",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,3677",$/kWh
34,- SUMINISTROS EN ALTA TENSIÓN,,
35,CARGO FIJO,"1.653,16",$/mes
36,CARGO POR POTENCIA EN PICO,"51,68",$/kW-
37,CARGO POR POTENCIA FUERA PICO,"37,43",$/kW-
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,6222",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,3141",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,0232",$/kWh
41,UEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),,
42,PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,,
43,CARGO FIJO T4R1,"389,04",$/mes
44,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"3,6882",$/kWh
45,CARGO FIJO T4R2,"520,23",$/mes
46,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"3,8463",$/kWh
47,CARGO FIJO T4R3,"649,93",$/mes
48,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"4,0019",$/kWh
49,CARGO FIJO T4R4,"743,04",$/mes
50,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"4,2283",$/kWh
