,16 KVA trifásico,91 kWh/mes
0,20 KVA trifásico,108 kWh/mes
1,25 KVA trifásico,124 kWh/mes
2,30 KVA trifásico,136 kWh/mes
3,40 KVA trifásico,166 kWh/mes
4,50 KVA trifásico,186 kWh/mes
5,63 KVA trifásico,216 kWh/mes
6,100 KVA trifásico,251 kWh/mes
7,VICIO DE PEAJE( para Distribuidores Municipales),
8,- SUMINISTROS EN BAJA TENSIÓN,
9,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
10,CARGO FIJO,"162,77 $/mes"
11,CARGO POR POTENCIA EN PICO,"103,11 $/kW-mes"
12,CARGO POR POTENCIA FUERA PICO,"44,19 $/kW-mes"
13,GOS VARIABLES,
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
15,Consumo en kWH-Mes primeros 150,
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0224 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0224 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0224 $/kWh"
19,Consumo en kWH-Mes siguientes 150,
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0875 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0844 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0813 $/kWh"
23,Consumo en kWH-Mes excedente a 300,
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1525 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1463 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1402 $/kWh"
27,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
28,Consumo en kWH-Mes primeros 150,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0224 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0224 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0224 $/kWh"
32,Consumo en kWH-Mes siguientes 150,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0875 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0844 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0813 $/kWh"
36,Consumo en kWH-Mes excedente a 300,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1525 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1463 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1402 $/kWh"
40,- SUMINISTROS EN MEDIA TENSIÓN,
41,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
42,CARGO FIJO,"246,56 $/mes"
43,CARGO POR POTENCIA EN PICO,"64,73 $/kW-mes"
44,CARGO POR POTENCIA FUERA PICO,"27,74 $/kW-mes"
45,GOS VARIABLES,
46,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
47,Consumo en kWH-Mes primeros 150,
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0141 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0141 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0141 $/kWh"
51,Consumo en kWH-Mes siguientes 150,
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0550 $/kWh"
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0530 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0511 $/kWh"
