,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
3,Consumo en kWH-Mes primeros 150,,
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0141",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0141",$/kWh
6,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0141",$/kWh
7,Consumo en kWH-Mes siguientes 150,,
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0550",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0530",$/kWh
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0511",$/kWh
11,Consumo en kWH-Mes excedente a 300,,
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
