,CARGO FIJO R1,"160,11 $/mes"
0,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),"5,2433 $/kWh"
1,CARGO FIJO R2,"244,78 $/mes"
2,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),"5,6772 $/kWh"
3,CARGO FIJO R3,"333,71 $/mes"
4,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),"6,0548 $/kWh"
5,CARGO FIJO R4,"414,14 $/mes"
6,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"6 ,3178 $/kWh"
7,CARGO FIJO R5,"663,97 $/mes"
8,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"6,7117 $/kWh"
9,CARGO FIJO R6,"1.074,67 $/mes"
10,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"7,1641 $/kWh"
11,CARGO FIJO R7,"1.311,77 $/mes"
12,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"7,7760 $/kWh"
13,E - RESIDENCIAL ESTACIONAL,
14,CARGO FIJO RE1,"642,66 $/mes"
15,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),"4,8436 $/kWh"
16,CARGO FIJO RE2,"727,34 $/mes"
17,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),"5,2766 $/kWh"
18,CARGO FIJO RE3,"816,27 $/mes"
19,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),"5,5859 $/kWh"
20,CARGO FIJO RE4,"896,71 $/mes"
21,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),"6,2032 $/kWh"
22,- SERVICIO GENERAL BAJOS CONSUMOS,
23,CARGO FIJO GBC,"622,12 $/mes"
24,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),"8,8032 $/kWh"
25,- SERVICIO GENERAL ALTOS CONSUMOS,
26,CARGO FIJO GAC1,"2.963,16 $/mes"
27,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),"7,1452 $/kWh"
28,CARGO FIJO GAC2,"3.869,24 $/mes"
29,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),"7,1619 $/kWh"
30,E - SERVICIO GENERAL ESTACIONAL,
31,CARGO FIJO GE1,"1.091,10 $/mes"
32,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),"6,7934 $/kWh"
33,CARGO FIJO GE2,"2.001,74 $/mes"
34,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),"8,0002 $/kWh"
35,P - ALUMBRADO PÚBLICO,
36,CARGO FIJO,"285,03 $/factura"
37,CARGO VARIABLE,"7,3344 $/kWh"
