,"CARGO POR POTENCIA EN PICO 408,19 $/kW-mes"
0,"CARGO POR POTENCIA FUERA PICO 310,45 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
2,"CARGO FIJO 2.210,03 $/mes"
3,"CARGO POR POTENCIA EN PICO 139,00 $/kW-mes"
4,"CARGO POR POTENCIA FUERA PICO 5 9,57 $/kW-mes"
5,GOS VARIABLES
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 2,9459 $/kWh"
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 2,8232 $/kWh"
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 2,7005 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 2,9459 $/kWh"
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 2,8232 $/kWh"
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 2,7005 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6749 $/kWh"
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5241 $/kWh"
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3723 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda)
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 8,773 $/kWh"
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 8,7678 $/kWh"
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 8,7626 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,9498 $/kWh"
36,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,7989 $/kWh"
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,6468 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 9,0621 $/kWh"
40,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 9,0589 $/kWh"
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 9,0537 $/kWh"
42,T - SUMINISTROS EN ALTA TENSIÓN
43,CARGO FIJO $/mes
44,CARGO POR POTENCIA EN PICO $/kW-mes
45,CARGO POR POTENCIA FUERA PICO $/kW-mes
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO $/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO $/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE $/kWh
49,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia)
50,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES
51,"CARGO FIJO T4R1 710,99 $/mes"
52,"CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500) 4,9261 $/kWh"
53,"CARGO FIJO T4R2 935,38 $/mes"
54,"CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700) 5,3116 $/kWh"
55,"CARGO FIJO T4R3 1.168,27 $/mes"
56,"CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400) 5,8999 $/kWh"
57,"CARGO FIJO T4R4 1.316,48 $/mes"
58,"CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400) 6,5525 $/kWh"
59,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES
60,"CARGO FIJO T4NR1 710,99 $/mes"
61,"CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500) 5,8217 $/kWh"
62,"CARGO FIJO T4NR2 935,38 $/mes"
63,"CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700) 6,2486 $/kWh"
64,"CARGO FIJO T4NR3 1.168,27 $/mes"
65,"CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400) 6,8779 $/kWh"
66,"CARGO FIJO T4NR4 1.316,48 $/mes"
67,"CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400) 7 ,6034 $/kWh"
68,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES
69,5 KVA monofásico 27 kWh/mes
70,10 KVA monofásico 43 kWh/mes
71,15 KVA monofásico 52 kWh/mes
72,16 KVA monofásico 57 kWh/mes
73,10 KVA trifásico 70 kWh/mes
74,15 KVA trifásico 86 kWh/mes
75,16 KVA trifásico 91 kWh/mes
76,20 KVA trifásico 108 kWh/mes
77,25 KVA trifásico 124 kWh/mes
78,30 KVA trifásico 136 kWh/mes
79,40 KVA trifásico 166 kWh/mes
80,50 KVA trifásico 186 kWh/mes
81,63 KVA trifásico 216 kWh/mes
82,100 KVA trifásico 251 kWh/mes
83,RVICIO DE PEAJE( para Distribuidores Municipales)
84,T - SUMINISTROS EN BAJA TENSIÓN
85,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales)
86,"CARGO FIJO 367,00 $/mes"
87,"CARGO POR POTENCIA EN PICO 586,41 $/kW-mes"
88,"CARGO POR POTENCIA FUERA PICO 336,40 $/kW-mes"
89,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
90,"CARGO FIJO 279,45 $/mes"
91,"CARGO POR POTENCIA EN PICO 172,05 $/kW-mes"
92,"CARGO POR POTENCIA FUERA PICO 7 3,74 $/kW-mes"
