,CONCEPTO AT SOBRE CARGOS,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,UNIDADES,TRANSMISION,GD,ACGD,AT TOTAL S/C. FIJOS
1,FIJOS Y CARGOS POR POTENCIA,,,,,
2,ATMFT1R1,$/cargo fijo -mes,"4,0103","1,1458","0,5729","5,7290"
3,ATMFT1R2,$/cargo fijo -mes,"7,8296","2,2370","1,1185","11,1851"
4,ATMFT1R3,$/cargo fijo -mes,"11,8399","3,3828","1,6914","16,9141"
5,ATMFT1R4,$/cargo fijo -mes,"15,4682","4,4195","2,2097","22,0974"
6,ATMFT1R5,$/cargo fijo -mes,"26,7352","7,6386","3,8193","38,1931"
7,ATMFT1R6,$/cargo fijo -mes,"45,2589","12,9311","6,4655","64,6555"
8,ATMFT1R7,$/cargo fijo -mes,"55,9529","15,9865","7,9933","79,9327"
9,ATMFT1RE1,$/cargo fijo -mes,"4,0103","1,1458","0,5729","5,7290"
10,ATMFT1RE2,$/cargo fijo -mes,"7,8296","2,2370","1,1185","11,1851"
11,ATMFT1RE3,$/cargo fijo -mes,"11,8399","3,3828","1,6914","16,9141"
12,ATMFT1RE4,$/cargo fijo -mes,"15,4682","4,4195","2,2097","22,0974"
13,ATMFT1GBC,$/cargo fijo -mes,"15,4682","4,4195","2,2097","22,0974"
14,ATMFT1GAC1,$/cargo fijo -mes,"55,9529","15,9865","7,9933","79,9327"
15,ATMFT1GAC2,$/cargo fijo -mes,"96,8195","27,6627","13,8314","138,3136"
16,ATMFT1GE1,$/cargo fijo -mes,"15,4682","4,4195","2,2097","22,0974"
17,ATMFT1GE2,$/cargo fijo -mes,"75,4314","21,5518","10,7759","107,7591"
18,ATMFCPPT2BT,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
19,ATMFCPFPT2BT,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
20,ATMFCPPT2MT,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
21,ATMFCPFPT2MT,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
22,ATMFCPPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
23,ATMFCPFPT3BT1,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
24,ATMFCPPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
25,ATMFCPFPT3BT2,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
26,ATMFCPPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
27,ATMFCPFPT3MT1,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
28,ATMFCPPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
29,ATMFCPFPT3MT2,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
30,ATMFT41,$/cargo fijo -mes,"5,1561","1,4732","0,7365","7,3658"
31,ATMFT42,$/cargo fijo -mes,"15,2772","4,3649","2,1825","21,8246"
32,ATMFT43,$/cargo fijo -mes,"25,7804","7,3658","3,6829","36,8291"
33,ATMFT44,$/cargo fijo -mes,"32,4641","9,2755","4,6377","46,3773"
34,ATMFT41_M,$/cargo fijo -mes,"5,1561","1,4732","0,7365","7,3658"
35,ATMFT42_M,$/cargo fijo -mes,"15,2772","4,3649","2,1825","21,8246"
36,ATMFT43_M,$/cargo fijo -mes,"25,7804","7,3658","3,6829","36,8291"
37,ATMFT44_M,$/cargo fijo -mes,"32,4641","9,2755","4,6377","46,3773"
38,ATMFCPPT5BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
39,ATMFCPFPT5BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
40,ATMFCPPT5BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
41,ATMFCPFPT5BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
42,ATMFCPPT5MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
43,ATMFCPFPT5MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
44,ATMFCPPT5MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
45,ATMFCPFPT5MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
46,ATMFCPFPCECF,$/kW -mes,"6,1109","1,7460","0,8730","8,7299"
47,ATMFT1R1S,$/cargo fijo -mes,"4,0103","1,1458","0,5729","5,7290"
48,ATMFT1R2S,$/cargo fijo -mes,"7,8296","2,2370","1,1185","11,1851"
49,ATMFT1R3S,$/cargo fijo -mes,"11,8399","3,3828","1,6914","16,9141"
50,ATMFT1R4S,$/cargo fijo -mes,"15,4682","4,4195","2,2097","22,0974"
51,ATMFT1R5S,$/cargo fijo -mes,"26,7352","7,6386","3,8193","38,1931"
52,ATMFT1R6S,$/cargo fijo -mes,"45,2589","12,9311","6,4655","64,6555"
53,ATMFT1R7S,$/cargo fijo -mes,"55,9529","15,9865","7,9933","79,9327"
54,ATMFT41S,$/cargo fijo -mes,"5,1561","1,4732","0,7365","7,3658"
55,ATMFT42S,$/cargo fijo -mes,"15,2772","4,3649","2,1825","21,8246"
56,ATMFT43S,$/cargo fijo -mes,"25,7804","7,3658","3,6829","36,8291"
57,ATMFT44S,$/cargo fijo -mes,"32,4641","9,2755","4,6377","46,3773"
