,CONCEPTO AT SOBRE CARGOS FIJOS Y,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,AT TOTAL S/C.
0,,UNIDADES,TRANSMISION,GD,ACGD,
1,CARGOS POR POTENCIA,,,,,FIJOS
2,ATMFT1R1,$/cargo fijo -mes,"1,5432","0,4409","0,2205","2,2046"
3,ATMFT1R2,$/cargo fijo -mes,"3,4721","0,9920","0,4960","4,9601"
4,ATMFT1R3,$/cargo fijo -mes,"4,8868","1,3962","0,6981","6,9811"
5,ATMFT1R4,$/cargo fijo -mes,"5,6582","1,6166","0,8083","8,0832"
6,ATMFT1R5,$/cargo fijo -mes,"6,1726","1,7636","0,8818","8,8180"
7,ATMFT1R6,$/cargo fijo -mes,"13,7600","3,9314","1,9657","19,6571"
8,ATMFT1R7,$/cargo fijo -mes,"26,4910","7,5688","3,7844","37,8442"
9,ATMFT1R8,$/cargo fijo -mes,"27,7769","7,9363","3,9681","39,6813"
10,ATMFT1R9,$/cargo fijo -mes,"38,1934","10,9124","5,4562","54,5619"
11,ATMFT1G1,$/cargo fijo -mes,"5,7869","1,6534","0,8267","8,2670"
12,ATMFT1G2,$/cargo fijo -mes,"41,5369","11,8677","5,9338","59,3384"
13,ATMFT1G3,$/cargo fijo -mes,"114,8373","32,8107","16,4053","164,0533"
14,ATMFT2BT,$/kW -mes,"3,7293","1,0655","0,5328","5,3276"
15,ATMFCPPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
16,ATMFCPFPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
17,ATMFCPPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
18,ATMFCPFPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
19,ATMFCPPT3AT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
20,ATMFCPFPT3AT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
21,ATMFCPPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
22,ATMFCPFPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
23,ATMFCPPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
24,ATMFCPFPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
25,ATMFCPPT3AT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
26,ATMFCPFPT3AT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
27,ATMFT2BTP,$/kW -mes,"3,7293","1,0655","0,5328","5,3276"
28,ATMFCPPT3BTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
29,ATMFCPFPT3BTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
30,ATMFCPPT3MTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
31,ATMFCPFPT3MTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
32,ATMFCPPT3ATP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
33,ATMFCPFPT3ATP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
34,ATMFCPPT3BTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
35,ATMFCPFPT3BTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
36,ATMFCPPT3MTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
37,ATMFCPFPT3MTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
38,ATMFCPPT3ATP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
39,ATMFCPFPT3ATP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
40,ATMFT4R1,$/cargo fijo -mes,"3,4721","0,9920","0,4960","4,9601"
41,ATMFT4R2,$/cargo fijo -mes,"6,1726","1,7636","0,8818","8,8180"
42,ATMFT4R3,$/cargo fijo -mes,"26,4910","7,5688","3,7844","37,8442"
43,ATMFT4R4,$/cargo fijo -mes,"27,7769","7,9363","3,9681","39,6813"
44,ATMFT41_NR,$/cargo fijo -mes,"3,4721","0,9920","0,4960","4,9601"
45,ATMFT42_NR,$/cargo fijo -mes,"6,1726","1,7636","0,8818","8,8180"
46,ATMFT43_NR,$/cargo fijo -mes,"26,4910","7,5688","3,7844","37,8442"
47,ATMFT44_NR,$/cargo fijo -mes,"27,7769","7,9363","3,9681","39,6813"
48,ATMFT1R1S,$/cargo fijo -mes,"1,5432","0,4409","0,2205","2,2046"
49,ATMFT1R2S,$/cargo fijo -mes,"3,4721","0,9920","0,4960","4,9601"
50,ATMFT1R3S,$/cargo fijo -mes,"4,8868","1,3962","0,6981","6,9811"
51,ATMFT1R4S,$/cargo fijo -mes,"5,6582","1,6166","0,8083","8,0832"
52,ATMFT1R5S,$/cargo fijo -mes,"6,1726","1,7636","0,8818","8,8180"
53,ATMFT1R6S,$/cargo fijo -mes,"13,7600","3,9314","1,9657","19,6571"
54,ATMFT1R7S,$/cargo fijo -mes,"26,4910","7,5688","3,7844","37,8442"
55,ATMFT1R8S,$/cargo fijo -mes,"27,7769","7,9363","3,9681","39,6813"
56,ATMFT1R9S,$/cargo fijo -mes,"38,1934","10,9124","5,4562","54,5619"
57,ATMFT4R1S,$/cargo fijo -mes,"3,4721","0,9920","0,4960","4,9601"
58,ATMFT4R2S,$/cargo fijo -mes,"6,1726","1,7636","0,8818","8,8180"
59,ATMFT4R3S,$/cargo fijo -mes,"26,4910","7,5688","3,7844","37,8442"
60,ATMFT4R4S,$/cargo fijo -mes,"27,7769","7,9363","3,9681","39,6813"
