,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,9298",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6025",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,2742",$/kWh
2,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,7835",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,6803",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,5767",$/kWh
6,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,1254",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,7987",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,4701",$/kWh
10,- SUMINISTROS EN MEDIA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
12,CARGO FIJO,"1.796,58",$/mes
13,CARGO POR POTENCIA EN PICO,"359,92",$/kW-mes
14,CARGO POR POTENCIA FUERA PICO,"256,01",$/kW-mes
15,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
16,CARGO FIJO,"1.578,68",$/mes
17,CARGO POR POTENCIA EN PICO,"129,02",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"55,29",$/kW-mes
19,GOS VARIABLES,,
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576",$/kWh
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746",$/kWh
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,2576",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,1661",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,0746",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367",$/kWh
40,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5384",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4376",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3367",$/kWh
44,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,7364",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,4171",$/kWh
