,CARGO POR POTENCIA EN PICO,Unnamed: 0,$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,,$/kW-mes
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,$/kWh
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,,$/kWh
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,,$/kWh
4,VICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
5,- SUMINISTROS EN BAJA TENSIÓN,,
6,CARGO FIJO,"667,99",$/mes
7,CARGO POR POTENCIA EN PICO,"170,93",$/kW-mes
8,CARGO POR POTENCIA FUERA PICO,"73,26",$/kW-mes
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2547",$/kWh
10,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,2479",$/kWh
11,- SUMINISTROS EN MEDIA TENSIÓN,,
12,CARGO FIJO,"1.323,31",$/mes
13,CARGO POR POTENCIA EN PICO,"101,33",$/kW-mes
14,CARGO POR POTENCIA FUERA PICO,"43,39",$/kW-mes
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1911",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,1872",$/kWh
17,OS POR BAJO COSENO DE FI,,
18,SUMINISTROS EN BAJA TENSIÓN,"0,6774",$/kvarh
19,SUMINISTROS EN MEDIA TENSIÓN,"0,6774",$/kvarh
20,SUMINISTROS EN ALTA TENSIÓN,"0,6774",$/kvarh
21,O DE REHABILITACION,,
22,A SERVICIO INTERRUMPIDO POR FALTA DE PAGO,,
23,TARIFA T1R,"125,09",$
24,TARIFA T1RE,"187,46",$
25,TARIFA T1G BC y AC,"738,15",$
26,TARIFA T1GE,"738,15",$
27,TATIFA 1AP,"738,15",$
28,TARIFAS 2,"1.814,36",$
29,TARIFAS 3,"2.267,83",$
30,TARIFA 4,"738,15",$
