,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,2236",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"69,84",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1,3030",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"179,59",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"3,2791",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"244,89",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"3,6289",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"244,89",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"4,6853",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"303,99",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"4,9649",$/kWh
10,CARGO FIJO R5,"487,55",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"5,1930",$/kWh
12,CARGO FIJO R6,"789,29",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"5,5247",$/kWh
14,CARGO FIJO R7,"963,48",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"5,9760",$/kWh
16,NDES DEMANDAS,,
17,- SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"1.041,92",$/mes
20,CARGO POR POTENCIA EN PICO,"192,15",$/kW-
21,CARGO POR POTENCIA FUERA PICO,"82,35",$/kW-
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3398",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3398",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3398",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,3270",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,2801",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,2331",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3141",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2203",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1265",$/kWh
