,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1990",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1907",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1824",$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2483",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2381",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2278",$/kWh
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1990",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1907",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1824",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2483",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2381",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2278",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2483",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2381",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2278",$/kWh
18,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2483",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2381",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2278",$/kWh
22,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5927",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5924",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5920",$/kWh
26,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2483",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2381",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2278",$/kWh
30,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5927",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5924",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5920",$/kWh
34,T - SUMINISTROS EN MEDIA TENSIÓN,,
35,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
36,CARGO FIJO,"376,32",$/mes
37,CARGO POR POTENCIA EN PICO,"259,13",$/kW-mes
38,CARGO POR POTENCIA FUERA PICO,"111,08",$/kW-mes
39,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
40,CARGO FIJO,"300,80",$/mes
41,CARGO POR POTENCIA EN PICO,"77,84",$/kW-mes
42,CARGO POR POTENCIA FUERA PICO,"33,36",$/kW-mes
43,GOS VARIABLES,,
44,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1251",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1199",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1147",$/kWh
