,TARIFA T1R,"152,60",$
0,TARIFA T1RE,"228,70",$
1,TARIFA T1G BC y AC,"900,54",$
2,TARIFA T1GE,"900,54",$
3,TATIFA 1AP,"900,54",$
4,TARIFAS 2,"2.213,51",$
5,TARIFAS 3,"2.766,76",$
6,TARIFA 4,"900,54",$
7,O POR SERVICIO DE CONEXION,,
8,NEXIONES AEREAS,,
9,MONOFASICAS,,
10,TARIFA T1R,"1.214,34",$
11,TARIFA T1RE,"1.291,66",$
12,TARIFA T1G BC,"1.460,90",$
13,TARIFA T1G AC,"1.460,90",$
14,TARIFA T1GE,"2.071,01",$
15,TATIFA 1AP,"1.460,90",$
16,TARIFAS 2,-,$
17,TARIFAS 3,-,$
18,TARIFA 4,"1.614,47",$
19,TRIFASICAS,,
20,TARIFA T1R,"2.772,55",$
21,TARIFA T1RE,"3.496,25",$
22,TARIFA T1G BC,"4.447,15",$
23,TARIFA T1G AC,"4.447,15",$
24,TARIFA T1GE,"5.607,40",$
25,TATIFA 1AP,"4.447,15",$
26,TARIFAS 2,"6.680,69",$
27,TARIFAS 3,"10.021,05",$
28,TARIFA 4,"4.369,19",$
29,NEXIONES SUBTERRANEAS,,
30,MONOFASICAS,,
31,TARIFA T1R,"2.772,55",$
32,TARIFA T1RE,"3.496,25",$
33,TARIFA T1G BC,"4.447,15",$
34,TARIFA T1G AC,"4.447,15",$
35,TARIFA T1GE,"5.607,40",$
36,TATIFA 1AP,"4.447,15",$
37,TARIFAS 2,-,$
38,TARIFAS 3,-,$
39,TARIFA 4,"4.369,19",$
40,TRIFASICAS,,
41,TARIFA T1R,"3.674,46",$
42,TARIFA T1RE,"4.231,10",$
43,TARIFA T1G BC,"5.892,38",$
44,TARIFA T1G AC,"5.892,38",$
45,TARIFA T1GE,"6.785,30",$
46,TATIFA 1AP,"5.892,38",$
47,TARIFAS 2,"9.464,39",$
48,TARIFAS 3,"14.252,17",$
49,TARIFA 4,"5.288,93",$
50,GOS POR CONTRASTE DE MEDIDORES DE ENERGIA,,
51,MONOFASICO,,
52,Pequeñas in situ,"185,97",$
53,Pequeñas en Laboratorio,"232,46",$
54,TRIFASICO,-,
55,Pequeñas in situ,"278,93",$
56,Pequeñas en Laboratorio,"418,42",$
57,Medianas y grandes demandas in situ,"1.033,11",$
58,Medianas y grandes demandas en Laboratorio,"1.394,72",$
