,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,3632 $/kWh"
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"87,95 $/mes"
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1,5159 $/kWh"
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"174,34 $/mes"
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"3,6275 $/kWh"
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"237,77 $/mes"
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"3,8580 $/kWh"
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"237,77 $/mes"
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"5,2793 $/kWh"
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"295,15 $/mes"
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"5,4630 $/kWh"
10,CARGO FIJO R5,"473,34 $/mes"
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"5,7468 $/kWh"
12,CARGO FIJO R6,"766,29 $/mes"
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"6,0470 $/kWh"
14,CARGO FIJO R7,"935,42 $/mes"
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"6,5383 $/kWh"
16,ANDES DEMANDAS,
17,T - SUMINISTROS EN BAJA TENSIÓN,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
19,CARGO FIJO,"992,64 $/mes"
20,CARGO POR POTENCIA EN PICO,"179,90 $/kW-"
21,CARGO POR POTENCIA FUERA PICO,"77,10 $/kW-"
22,GOS VARIABLES,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
24,Consumo en kWH-Mes primeros 150,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4167 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4167 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4167 $/kWh"
28,Consumo en kWH-Mes siguientes 150,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,7449 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6818 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,6187 $/kWh"
32,Consumo en kWH-Mes excedente a 300,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0731 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,9469 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,8206 $/kWh"
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
37,Consumo en kWH-Mes primeros 150,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4167 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4167 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4167 $/kWh"
41,Consumo en kWH-Mes siguientes 150,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,7449 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6818 $/kWh"
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,6187 $/kWh"
45,Consumo en kWH-Mes excedente a 300,
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0731 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,9469 $/kWh"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,8206 $/kWh"
49,T - SUMINISTROS EN MEDIA TENSIÓN,
