,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1 ,1965",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"71,60",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1 ,3186",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"2 00,64",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"3 ,4774",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"2 73,53",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"3 ,7836",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"2 73,53",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"4 ,8400",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"3 39,46",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"5 ,0524",$/kWh
10,CARGO FIJO R5,"5 44,23",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"5 ,3753",$/kWh
12,CARGO FIJO R6,"8 80,87",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"5 ,7461",$/kWh
14,CARGO FIJO R7,"1 .075,22",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"6 ,2475",$/kWh
16,NDES DEMANDAS,,
17,- SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"1 .195,59",$/mes
20,CARGO POR POTENCIA EN PICO,"1 97,67",$/kW-
21,CARGO POR POTENCIA FUERA PICO,"84,72",$/kW-
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3398",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3398",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3398",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,3270",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,2801",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,2331",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,3141",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,2203",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,1265",$/kWh
