,CARGO POR POTENCIA EN PICO,"1 97,67",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"84,72",$/kW-mes
1,GOS VARIABLES,,
2,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3 ,5826",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3 ,4430",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3 ,3023",$/kWh
6,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3 ,8205",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3 ,6823",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3 ,5415",$/kWh
