,Tarifa 1 - R1,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,Cargo Fijo,$/mes,"95,85"
1,,Cargo Variable,$/kWh,"3,4123"
2,Tarifa 1 - R2,,,
3,,Cargo Fijo 151-325,$/mes,"265,22"
4,,Cargo Variable 151-325,$/kWh,"3,1728"
5,,Cargo Fijo 326-400,$/mes,"322,26"
6,,Cargo Variable 326-400,$/kWh,"3,2056"
7,,Cargo Fijo 401-450,$/mes,"422,82"
8,,Cargo Variable 401-450,$/kWh,"3,3183"
9,,Cargo Fijo 451-500,$/mes,"496,02"
10,,Cargo Variable 451-500,$/kWh,"3,3806"
11,,Cargo Fijo 501-600,$/mes,"799,61"
12,,Cargo Variable 501-600,$/kWh,"3,6419"
13,,Cargo Fijo 601-700,$/mes,"1.080,41"
14,,Cargo Variable 601-700,$/kWh,"3,8382"
15,,Cargo Fijo 701-1400,$/mes,"1.535,85"
16,,Cargo Variable 701-1400,$/kWh,"3,9617"
17,,Cargo Fijo +1400,$/mes,"1.832,97"
18,,Cargo Variable +1400,$/kWh,"3,9872"
19,Tarifa 1 - G1,,,
20,,Cargo Fijo,$/mes,"294,53"
21,,Cargo Variable,$/kWh,"4,8094"
22,Tarifa 1 - G2,,,
23,,Cargo Fijo,$/mes,"2.148,44"
24,,Cargo Variable,$/kWh,"4,4444"
25,Tarifa 1 - G3,,,
26,,Cargo Fijo,$/mes,"5.965,58"
27,,Cargo Variable,$/kWh,"4,1409"
28,Tarifa 1 - AP,,,
29,,Cargo Variable,$/kWh,"3,8003"
