,Cargo Pot. Pico,$/MW-mes,"272.626,85"
0,Cargo Pot. F. Pico,$/MW-mes,"218.428,96"
1,Cargo Variable Pico,$/MWh,"235,20"
2,Cargo Variable Resto,$/MWh,"226,14"
3,Cargo Variable Valle,$/MWh,"217,01"
4,Otros prestadores (Organismos Públicos >= 300 kW),,
5,Cargo Pot. Pico,$/MW-mes,"372.541,07"
6,Cargo Pot. F. Pico,$/MW-mes,"293.717,28"
7,Cargo Variable Pico,$/MWh,"624,15"
8,Cargo Variable Resto,$/MWh,"600,11"
9,Cargo Variable Valle,$/MWh,"575,89"
10,Otros prestadores (Organismos Públicos >= 300 kW),,
11,Cargo Pot. Pico,$/MW-mes,"272.626,85"
12,Cargo Pot. F. Pico,$/MW-mes,"218.428,96"
