,CARGO POR POTENCIA EN PICO,"2 12,91",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"9 1,27",$/kW-mes
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
2,CARGO FIJO,"2 46,56",$/mes
3,CARGO POR POTENCIA EN PICO,"6 4,73",$/kW-mes
4,CARGO POR POTENCIA FUERA PICO,"2 7,74",$/kW-mes
5,GOS VARIABLES,,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0959",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0920",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0881",$/kWh
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1078",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1035",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0992",$/kWh
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3285",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3149",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3013",$/kWh
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,1078",$/kWh
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,1035",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,0992",$/kWh
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3285",$/kWh
