,TARIFA T1R,"995,36",$
0,TARIFA T1RE,"1.058,74",$
1,TARIFA T1G BC,"1.197,46",$
2,TARIFA T1G AC,"1.197,46",$
3,TARIFA T1GE,"1.697,55",$
4,TATIFA 1AP,"1.197,46",$
5,TARIFAS 2,-,$
6,TARIFAS 3,-,$
7,TARIFA 4,"1.323,34",$
8,TRIFASICAS,,
9,TARIFA T1R,"2.272,58",$
10,TARIFA T1RE,"2.865,78",$
11,TARIFA T1G BC,"3.645,20",$
12,TARIFA T1G AC,"3.645,20",$
13,TARIFA T1GE,"4.596,23",$
14,TATIFA 1AP,"3.645,20",$
15,TARIFAS 2,"5.475,98",$
16,TARIFAS 3,"8.213,98",$
17,TARIFA 4,"3.581,31",$
18,EXIONES SUBTERRANEAS,,
19,MONOFASICAS,,
20,TARIFA T1R,"2.272,58",$
21,TARIFA T1RE,"2.865,78",$
22,TARIFA T1G BC,"3.645,20",$
23,TARIFA T1G AC,"3.645,20",$
24,TARIFA T1GE,"4.596,23",$
25,TATIFA 1AP,"3.645,20",$
26,TARIFAS 2,-,$
27,TARIFAS 3,-,$
28,TARIFA 4,"3.581,31",$
29,TRIFASICAS,,
30,TARIFA T1R,"3.011,85",$
31,TARIFA T1RE,"3.468,11",$
32,TARIFA T1G BC,"4.829,82",$
33,TARIFA T1G AC,"4.829,82",$
34,TARIFA T1GE,"5.561,72",$
35,TATIFA 1AP,"4.829,82",$
36,TARIFAS 2,"7.757,69",$
37,TARIFAS 3,"11.682,10",$
