,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1 ,2199",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"7 2,09",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1 ,3404",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"1 42,90",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"2 ,9667",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"1 94,89",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"3 ,1524",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"1 94,89",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"4 ,2130",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"2 41,92",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"4 ,3602",$/kWh
10,CARGO FIJO R5,"3 87,98",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"4 ,5928",$/kWh
12,CARGO FIJO R6,"6 28,10",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"4 ,8388",$/kWh
14,CARGO FIJO R7,"7 66,73",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"5 ,2414",$/kWh
16,NDES DEMANDAS,,
17,- SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"8 13,64",$/mes
20,CARGO POR POTENCIA EN PICO,"1 57,37",$/kW-
21,CARGO POR POTENCIA FUERA PICO,"6 7,44",$/kW-
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3827",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3827",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3827",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,3738",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,3267",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,2796",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,3648",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,2707",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,1765",$/kWh
