,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),Unnamed: 0,"7,4429",$/kWh
0,E - RESIDENCIAL ESTACIONAL,,,
1,CARGO FIJO RE1,,"583,32",$/mes
2,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"4,9168",$/kWh
3,CARGO FIJO RE2,,"659,22",$/mes
4,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"5,2982",$/kWh
5,CARGO FIJO RE3,,"738,93",$/mes
6,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"5,6054",$/kWh
7,CARGO FIJO RE4,,"811,03",$/mes
8,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"6,1518",$/kWh
9,- SERVICIO GENERAL BAJOS CONSUMOS,,,
10,CARGO FIJO GBC,,"575,38",$/mes
11,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"8,4472",$/kWh
12,- SERVICIO GENERAL ALTOS CONSUMOS,,,
13,CARGO FIJO GAC1,,"2.702,61",$/mes
14,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"6,9691",$/kWh
15,CARGO FIJO GAC2,,"3.514,74",$/mes
16,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"6,9861",$/kWh
17,E - SERVICIO GENERAL ESTACIONAL,,,
18,CARGO FIJO GE1,,"974,14",$/mes
19,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"6,9387",$/kWh
20,CARGO FIJO GE2,,"1.176,38",$/mes
21,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"7,2840",$/kWh
22,P - ALUMBRADO PÚBLICO,,,
23,CARGO FIJO,,"254,15",$/factura
24,CARGO VARIABLE,,"6,3351",$/kWh
25,DIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
26,T -SUMINISTROS EN BAJA TENSIÓN,,,
27,CARGO FIJO,,"1.551,15",$/mes
28,CARGO POR POTENCIA EN PICO,,"408,53",$/kW-mes
29,CARGO POR POTENCIA FUERA PICO,,"299,22",$/kW-mes
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"4,1037",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"3,9734",$/kWh
32,T - SUMINISTROS EN MEDIA TENSIÓN,,,
33,CARGO FIJO,,"2.350,22",$/mes
34,CARGO POR POTENCIA EN PICO,,"301,30",$/kW-mes
35,CARGO POR POTENCIA FUERA PICO,,"253,28",$/kW-mes
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"4,0126",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"3,8814",$/kWh
