,CARGO FIJO T4R3,"1.023,92",$/mes
0,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"5,2793",$/kWh
1,CARGO FIJO T4R4,"1.159,70",$/mes
2,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"5,6612",$/kWh
3,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,,
4,CARGO FIJO T4NR1,"604,90",$/mes
5,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"5,7427",$/kWh
6,CARGO FIJO T4NR2,"810,55",$/mes
7,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"6,0259",$/kWh
8,CARGO FIJO T4NR3,"1.023,92",$/mes
9,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"6,2462",$/kWh
10,CARGO FIJO T4NR4,"1.159,70",$/mes
