,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,3776",$/kWh
0,CARGO FIJO R2 ( 100 < consumo en kWH-Mes ≤ 150),"85,20",$/mes
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 150 o primeros 150),"1,4798",$/kWh
2,CARGO FIJO R2 ( 150 < consumo en kWH-Mes ≤ 200),"219,10",$/mes
3,CARGO VARIABLE R2 ( 150 < consumo en kWH-Mes ≤ 200),"4,0175",$/kWh
4,CARGO FIJO R3 ( 200 < consumo en kWH-Mes ≤ 300),"298,77",$/mes
5,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 300 o siguientes 150),"4,4484",$/kWh
6,CARGO FIJO R3 ( 300 < consumo en kWH-Mes ≤ 400),"298,77",$/mes
7,CARGO VARIABLE R3 (300 < consumo en kWH-Mes ≤ 400 ),"5,8641",$/kWh
8,CARGO FIJO R4  ( 400 < consumo en kWH-Mes ≤ 500),"370,87",$/mes
9,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),"6,2093",$/kWh
10,CARGO FIJO R5,"594,81",$/mes
11,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),"6,4876",$/kWh
12,CARGO FIJO R6,"962,93",$/mes
13,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),"6,8922",$/kWh
14,CARGO FIJO R7,"1.175,45",$/mes
15,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),"7,4429",$/kWh
16,ANDES DEMANDAS,,
17,T - SUMINISTROS EN BAJA TENSIÓN,,
18,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
19,CARGO FIJO,"1.271,14",$/mes
20,CARGO POR POTENCIA EN PICO,"222,72",$/kW-mes
21,CARGO POR POTENCIA FUERA PICO,"95,45",$/kW-mes
22,GOS VARIABLES,,
23,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
24,Consumo en kWH-Mes primeros 150,,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3737",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3737",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3737",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,6966",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6338",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5709",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0196",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8938",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7680",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
37,Consumo en kWH-Mes primeros 150,,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3737",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3737",$/kWh
