,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3398",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3398",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3398",$/kWh
2,Consumo en kWH-Mes siguientes 150,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,3270",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,2801",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,2331",$/kWh
6,Consumo en kWH-Mes excedente a 300,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,3141",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,2203",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,1265",$/kWh
10,- SUMINISTROS EN MEDIA TENSIÓN,,
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
12,CARGO FIJO,"1 .578,68",$/mes
13,CARGO POR POTENCIA EN PICO,"1 29,02",$/kW-
14,CARGO POR POTENCIA FUERA PICO,"55,29",$/kW-
15,GOS VARIABLES,,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
17,Consumo en kWH-Mes primeros 150,,
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3316",$/kWh
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3316",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3316",$/kWh
21,Consumo en kWH-Mes siguientes 150,,
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,2946",$/kWh
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,2488",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,2031",$/kWh
25,Consumo en kWH-Mes excedente a 300,,
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,2576",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,1661",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,0746",$/kWh
29,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
30,Consumo en kWH-Mes primeros 150,,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3316",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3316",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3316",$/kWh
34,Consumo en kWH-Mes siguientes 150,,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,2946",$/kWh
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,2488",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,2031",$/kWh
38,Consumo en kWH-Mes excedente a 300,,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,2576",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,1661",$/kWh
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,0746",$/kWh
42,EÑAS DEMANDAS RURALES (menos de 10 kW de potencia),,
43,PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,,
44,CARGO FIJO T4R1,"2 09,90",$/mes
45,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1 ,3708",$/kWh
