,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),Unnamed: 0,"6,2475",$/kWh
0,- RESIDENCIAL ESTACIONAL,,,
1,CARGO FIJO RE1,,"526,77",$/mes
2,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"3,9410",$/kWh
3,CARGO FIJO RE2,,"596,18",$/mes
4,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"4,2969",$/kWh
5,CARGO FIJO RE3,,"669,08",$/mes
6,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"4,5510",$/kWh
7,CARGO FIJO RE4,,"735,01",$/mes
8,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"5,0575",$/kWh
9,- SERVICIO GENERAL BAJOS CONSUMOS,,,
10,CARGO FIJO GBC,,"509,93",$/mes
11,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"6,7628",$/kWh
12,- SERVICIO GENERAL ALTOS CONSUMOS,,,
13,CARGO FIJO GAC1,,"2.440,15",$/mes
14,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"5,3924",$/kWh
15,CARGO FIJO GAC2,,"3.182,84",$/mes
16,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"5,4060",$/kWh
17,- SERVICIO GENERAL ESTACIONAL,,,
18,CARGO FIJO GE1,,"894,34",$/mes
19,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"5,2109",$/kWh
20,CARGO FIJO GE2,,"1.640,77",$/mes
21,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"6,2818",$/kWh
22,- ALUMBRADO PÚBLICO,,,
23,CARGO FIJO,,"233,63",$/factura
24,CARGO VARIABLE,,"5,5527",$/kWh
25,IANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
26,-SUMINISTROS EN BAJA TENSIÓN,,,
27,CARGO FIJO,,"1.458,92",$/mes
28,CARGO POR POTENCIA EN PICO,,"356,00",$/kW-mes
29,CARGO POR POTENCIA FUERA PICO,,"263,63",$/kW-mes
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"2,9154",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"2,8437",$/kWh
