,CARGO POR POTENCIA EN PICO,"507,04",$/kW-mes
0,CARGO POR POTENCIA FUERA PICO,"328,40",$/kW-mes
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
2,CARGO FIJO,"1.195,59",$/mes
3,CARGO POR POTENCIA EN PICO,"197,67",$/kW-mes
4,CARGO POR POTENCIA FUERA PICO,"84,72",$/kW-mes
5,GOS VARIABLES,,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3141",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2203",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1265",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3141",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2203",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1265",$/kWh
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,6019",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4985",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3951",$/kWh
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7,9298",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,6025",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,2742",$/kWh
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,8279",$/kWh
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,7245",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,6211",$/kWh
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,1677",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7,8419",$/kWh
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7,5134",$/kWh
42,- SUMINISTROS EN MEDIA TENSIÓN,,
43,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
44,CARGO FIJO,"2.061,53",$/mes
45,CARGO POR POTENCIA EN PICO,"343,77",$/kW-mes
46,CARGO POR POTENCIA FUERA PICO,"258,40",$/kW-mes
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
48,CARGO FIJO,"1.811,50",$/mes
49,CARGO POR POTENCIA EN PICO,"123,12",$/kW-mes
