,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"4,3754 $/kWh"
0,CARGO FIJO T4NR2,"766,71 $/mes"
1,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"4,7254 $/kWh"
2,CARGO FIJO T4NR3,"957,59 $/mes"
3,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"5,2411 $/kWh"
4,CARGO FIJO T4NR4,"1.079,08 $/mes"
5,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"5,8359 $/kWh"
6,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
7,5 KVA monofásico,27 kWh/mes
8,10 KVA monofásico,43 kWh/mes
9,15 KVA monofásico,52 kWh/mes
10,16 KVA monofásico,57 kWh/mes
11,10 KVA trifásico,70 kWh/mes
12,15 KVA trifásico,86 kWh/mes
13,16 KVA trifásico,91 kWh/mes
14,20 KVA trifásico,108 kWh/mes
15,25 KVA trifásico,124 kWh/mes
16,30 KVA trifásico,136 kWh/mes
17,40 KVA trifásico,166 kWh/mes
18,50 KVA trifásico,186 kWh/mes
19,63 KVA trifásico,216 kWh/mes
20,100 KVA trifásico,251 kWh/mes
21,ICIO DE PEAJE( para Distribuidores Municipales),
22,- SUMINISTROS EN BAJA TENSIÓN,
23,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
24,CARGO FIJO,"300,82 $/mes"
25,CARGO POR POTENCIA EN PICO,"481,27 $/kW-mes"
26,CARGO POR POTENCIA FUERA PICO,"276,00 $/kW-mes"
27,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
28,CARGO FIJO,"229,06 $/mes"
29,CARGO POR POTENCIA EN PICO,"141,63 $/kW-mes"
30,CARGO POR POTENCIA FUERA PICO,"60,70 $/kW-mes"
31,GOS VARIABLES,
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1433 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1375 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1317 $/kWh"
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
40,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1433 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1375 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1317 $/kWh"
44,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
48,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
