,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483",$/kWh
2,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4910",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4707",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4504",$/kWh
6,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1618",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1554",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1490",$/kWh
10,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4914",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4710",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4509",$/kWh
14,- SUMINISTROS EN MEDIA TENSIÓN,,
15,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
16,CARGO FIJO,"453,27",$/mes
17,CARGO POR POTENCIA EN PICO,"287,62",$/kW-mes
18,CARGO POR POTENCIA FUERA PICO,"193,00",$/kW-mes
19,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
20,CARGO FIJO,"362,31",$/mes
21,CARGO POR POTENCIA EN PICO,"69,74",$/kW-mes
22,CARGO POR POTENCIA FUERA PICO,"29,89",$/kW-mes
23,GOS VARIABLES,,
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
28,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
32,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
40,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
44,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0976",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0938",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0899",$/kWh
48,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2976",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2853",$/kWh
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2730",$/kWh
52,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0983",$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0943",$/kWh
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0907",$/kWh
