,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0480",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0463",$/kWh
1,Consumo en kWH-Mes excedente a 300,,
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
5,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
6,Consumo en kWH-Mes primeros 150,,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0128",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0128",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0128",$/kWh
10,Consumo en kWH-Mes siguientes 150,,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0498",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0480",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0463",$/kWh
14,Consumo en kWH-Mes excedente a 300,,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0868",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0833",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0798",$/kWh
