,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,2045",$/kWh
0,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,2222",$/kWh
2,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,2135",$/kWh
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,2050",$/kWh
4,- SUMINISTROS EN MEDIA TENSIÓN,,
5,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
6,CARGO FIJO,"4 53,27",$/mes
7,CARGO POR POTENCIA EN PICO,"2 87,62",$/kW-mes
8,CARGO POR POTENCIA FUERA PICO,"1 93,00",$/kW-mes
9,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
10,CARGO FIJO,"3 62,31",$/mes
11,CARGO POR POTENCIA EN PICO,"6 9,74",$/kW-mes
12,CARGO POR POTENCIA FUERA PICO,"2 9,89",$/kW-mes
13,OS VARIABLES,,
14,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,1344",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,1292",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,1239",$/kWh
18,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,1351",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,1297",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,1243",$/kWh
