,Tarifa 1 - R1,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,Cargo Fijo,$/mes,"159,61"
1,,Cargo Variable,$/kWh,"9,7873"
2,Tarifa 1 - R2,,,
3,,Cargo Fijo 151-325,$/mes,"530,60"
4,,Cargo Variable 151-325,$/kWh,"9,5508"
5,,Cargo Fijo 326-400,$/mes,"587,64"
6,,Cargo Variable 326-400,$/kWh,"9,5836"
7,,Cargo Fijo 401-450,$/mes,"688,20"
8,,Cargo Variable 401-450,$/kWh,"9,6963"
9,,Cargo Fijo 451-500,$/mes,"761,40"
10,,Cargo Variable 451-500,$/kWh,"9,7586"
11,,Cargo Fijo 501-600,$/mes,"1.064,99"
12,,Cargo Variable 501-600,$/kWh,"10,0200"
13,,Cargo Fijo 601-700,$/mes,"1.345,79"
14,,Cargo Variable 601-700,$/kWh,"10,2163"
15,,Cargo Fijo 701-1400,$/mes,"1.801,23"
16,,Cargo Variable 701-1400,$/kWh,"10,3398"
17,,Cargo Fijo +1400,$/mes,"2.098,35"
18,,Cargo Variable +1400,$/kWh,"10,3653"
19,Tarifa 1 - G1,,,
20,,Cargo Fijo,$/mes,"445,75"
21,,Cargo Variable,$/kWh,"10,8650"
22,Tarifa 1 - G2,,,
23,,Cargo Fijo,$/mes,"3.257,42"
24,,Cargo Variable,$/kWh,"10,5033"
25,Tarifa 1 - G3,,,
26,,Cargo Fijo,$/mes,"8.930,75"
27,,Cargo Variable,$/kWh,"10,2021"
28,Tarifa 1 - AP,,,
29,,Cargo Variable,$/kWh,"10,9154"
