,CONCEPTO AT SOBRE CARGOS,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,UNIDADES,TRANSMISION,GD,ACGD,AT TOTAL S/C. FIJOS
1,FIJOS Y CARGOS POR POTENCIA,,,,,
2,ATMFT1R1,$/cargo fijo -mes,"4,4113","1,2604","0,6302","6,3019"
3,ATMFT1R2,$/cargo fijo -mes,"8,6125","2,4607","1,2304","12,3036"
4,ATMFT1R3,$/cargo fijo -mes,"13,0239","3,7211","1,8605","18,6055"
5,ATMFT1R4,$/cargo fijo -mes,"17,0150","4,8614","2,4308","24,3072"
6,ATMFT1R5,$/cargo fijo -mes,"29,4087","8,4025","4,2012","42,0124"
7,ATMFT1R6,$/cargo fijo -mes,"49,7847","14,2242","7,1121","71,1210"
8,ATMFT1R7,$/cargo fijo -mes,"61,5482","17,5852","8,7926","87,9260"
9,ATMFT1RE1,$/cargo fijo -mes,"4,4113","1,2604","0,6302","6,3019"
10,ATMFT1RE2,$/cargo fijo -mes,"8,6125","2,4607","1,2304","12,3036"
11,ATMFT1RE3,$/cargo fijo -mes,"13,0239","3,7211","1,8605","18,6055"
12,ATMFT1RE4,$/cargo fijo -mes,"17,0150","4,8614","2,4308","24,3072"
13,ATMFT1GBC,$/cargo fijo -mes,"17,0150","4,8614","2,4308","24,3072"
14,ATMFT1GAC1,$/cargo fijo -mes,"61,5482","17,5852","8,7926","87,9260"
15,ATMFT1GAC2,$/cargo fijo -mes,"106,5015","30,4290","15,2145","152,1450"
16,ATMFT1GE1,$/cargo fijo -mes,"17,0150","4,8614","2,4308","24,3072"
17,ATMFT1GE2,$/cargo fijo -mes,"82,9745","23,7070","11,8535","118,5350"
18,ATMFCPPT2BT,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
19,ATMFCPFPT2BT,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
20,ATMFCPPT2MT,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
21,ATMFCPFPT2MT,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
22,ATMFCPPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
23,ATMFCPFPT3BT1,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
24,ATMFCPPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
25,ATMFCPFPT3BT2,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
26,ATMFCPPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
27,ATMFCPFPT3MT1,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
28,ATMFCPPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
29,ATMFCPFPT3MT2,$/kW -mes,"6,7220","1,9206","0,9602","9,6028"
30,ATMFT41,$/cargo fijo -mes,"5,6717","1,6205","0,8102","8,1024"
31,ATMFT42,$/cargo fijo -mes,"16,8050","4,8014","2,4007","24,0071"
32,ATMFT43,$/cargo fijo -mes,"28,3584","8,1024","4,0512","40,5120"
33,ATMFT44,$/cargo fijo -mes,"35,7106","10,2030","5,1015","51,0151"
34,ATMFT41_M,$/cargo fijo -mes,"5,6717","1,6205","0,8102","8,1024"
35,ATMFT42_M,$/cargo fijo -mes,"16,8050","4,8014","2,4007","24,0071"
36,ATMFT43_M,$/cargo fijo -mes,"28,3584","8,1024","4,0512","40,5120"
37,ATMFT44_M,$/cargo fijo -mes,"35,7106","10,2030","5,1015","51,0151"
