,CONCEPTO AT SOBRE CARGOS FIJOS Y,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,AT TOTAL S/C.
0,,UNIDADES,TRANSMISION,GD,ACGD,
1,CARGOS POR POTENCIA,,,,,FIJOS
2,ATMFT1R1,$/cargo fijo -mes,"1,6975","0,4850","0,2425","2,4250"
3,ATMFT1R2,$/cargo fijo -mes,"3,8193","1,0912","0,5456","5,4562"
4,ATMFT1R3,$/cargo fijo -mes,"5,3754","1,5358","0,7679","7,6792"
5,ATMFT1R4,$/cargo fijo -mes,"6,2241","1,7783","0,8892","8,8915"
6,ATMFT1R5,$/cargo fijo -mes,"6,7899","1,9400","0,9700","9,6998"
7,ATMFT1R6,$/cargo fijo -mes,"15,1360","4,3246","2,1623","21,6228"
8,ATMFT1R7,$/cargo fijo -mes,"29,1401","8,3257","4,1629","41,6286"
9,ATMFT1R8,$/cargo fijo -mes,"30,5546","8,7299","4,3649","43,6495"
10,ATMFT1R9,$/cargo fijo -mes,"42,0127","12,0036","6,0018","60,0181"
11,ATMFT1G1,$/cargo fijo -mes,"6,3656","1,8187","0,9094","9,0937"
12,ATMFT1G2,$/cargo fijo -mes,"45,6906","13,0545","6,5272","65,2723"
13,ATMFT1G3,$/cargo fijo -mes,"126,3210","36,0917","18,0459","180,4586"
14,ATMFT2BT,$/kW -mes,"4,1023","1,1721","0,5860","5,8604"
15,ATMFCPPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
16,ATMFCPFPT3BT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
17,ATMFCPPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
18,ATMFCPFPT3MT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
19,ATMFCPPT3AT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
20,ATMFCPFPT3AT1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
21,ATMFCPPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
22,ATMFCPFPT3BT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
23,ATMFCPPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
24,ATMFCPFPT3MT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
25,ATMFCPPT3AT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
26,ATMFCPFPT3AT2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
27,ATMFT2BTP,$/kW -mes,"4,1023","1,1721","0,5860","5,8604"
28,ATMFCPPT3BTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
29,ATMFCPFPT3BTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
30,ATMFCPPT3MTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
31,ATMFCPFPT3MTP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
32,ATMFCPPT3ATP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
33,ATMFCPFPT3ATP1,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
34,ATMFCPPT3BTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
35,ATMFCPFPT3BTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
36,ATMFCPPT3MTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
37,ATMFCPFPT3MTP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
38,ATMFCPPT3ATP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
39,ATMFCPFPT3ATP2,$/kW -mes,"0,0000","0,0000","0,0000","0,0000"
40,ATMFT4R1,$/cargo fijo -mes,"3,8193","1,0912","0,5456","5,4562"
41,ATMFT4R2,$/cargo fijo -mes,"6,7899","1,9400","0,9700","9,6998"
42,ATMFT4R3,$/cargo fijo -mes,"29,1401","8,3257","4,1629","41,6286"
43,ATMFT4R4,$/cargo fijo -mes,"30,5546","8,7299","4,3649","43,6495"
44,ATMFT41_NR,$/cargo fijo -mes,"3,8193","1,0912","0,5456","5,4562"
45,ATMFT42_NR,$/cargo fijo -mes,"6,7899","1,9400","0,9700","9,6998"
46,ATMFT43_NR,$/cargo fijo -mes,"29,1401","8,3257","4,1629","41,6286"
47,ATMFT44_NR,$/cargo fijo -mes,"30,5546","8,7299","4,3649","43,6495"
48,ATMFT1R1S,$/cargo fijo -mes,"1,6975","0,4850","0,2425","2,4250"
49,ATMFT1R2S,$/cargo fijo -mes,"3,8193","1,0912","0,5456","5,4562"
50,ATMFT1R3S,$/cargo fijo -mes,"5,3754","1,5358","0,7679","7,6792"
51,ATMFT1R4S,$/cargo fijo -mes,"6,2241","1,7783","0,8892","8,8915"
52,ATMFT1R5S,$/cargo fijo -mes,"6,7899","1,9400","0,9700","9,6998"
53,ATMFT1R6S,$/cargo fijo -mes,"15,1360","4,3246","2,1623","21,6228"
54,ATMFT1R7S,$/cargo fijo -mes,"29,1401","8,3257","4,1629","41,6286"
55,ATMFT1R8S,$/cargo fijo -mes,"30,5546","8,7299","4,3649","43,6495"
56,ATMFT1R9S,$/cargo fijo -mes,"42,0127","12,0036","6,0018","60,0181"
57,ATMFT4R1S,$/cargo fijo -mes,"3,8193","1,0912","0,5456","5,4562"
58,ATMFT4R2S,$/cargo fijo -mes,"6,7899","1,9400","0,9700","9,6998"
59,ATMFT4R3S,$/cargo fijo -mes,"29,1401","8,3257","4,1629","41,6286"
60,ATMFT4R4S,$/cargo fijo -mes,"30,5546","8,7299","4,3649","43,6495"
