,CARGO FIJO,"1.882,77 $/mes"
0,CARGO POR POTENCIA EN PICO,"524,87 $/kW-mes"
1,CARGO POR POTENCIA FUERA PICO,"331,54 $/kW-mes"
2,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
3,CARGO FIJO,"1.654,41 $/mes"
4,CARGO POR POTENCIA EN PICO,"300,10 $/kW-mes"
5,CARGO POR POTENCIA FUERA PICO,"128,61 $/kW-mes"
6,GOS VARIABLES,
7,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
11,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
15,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
19,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
23,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
27,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
31,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,0291 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,0239 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,0187 $/kWh"
35,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,2797 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,2742 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,2691 $/kWh"
39,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,2971 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,2937 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,2885 $/kWh"
43,T - SUMINISTROS EN ALTA TENSIÓN,
44,CARGO FIJO,$/mes
45,CARGO POR POTENCIA EN PICO,$/kW-mes
46,CARGO POR POTENCIA FUERA PICO,$/kW-mes
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
50,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
51,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
52,CARGO FIJO T4R1,"619,06 $/mes"
53,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"15,6225 $/kWh"
54,CARGO FIJO T4R2,"795,15 $/mes"
55,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"15,9040 $/kWh"
56,CARGO FIJO T4R3,"969,22 $/mes"
57,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"16,1873 $/kWh"
58,CARGO FIJO T4R4,"1.094,14 $/mes"
59,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"16,6133 $/kWh"
60,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
61,CARGO FIJO T4NR1,"619,06 $/mes"
62,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"15,8137 $/kWh"
63,CARGO FIJO T4NR2,"795,15 $/mes"
64,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"16,1408 $/kWh"
65,CARGO FIJO T4NR3,"969,22 $/mes"
66,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"16,4691 $/kWh"
67,CARGO FIJO T4NR4,"1.094,14 $/mes"
68,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"16,9753 $/kWh"
69,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
70,5 KVA monofásico,27 kWh/mes
71,10 KVA monofásico,43 kWh/mes
72,15 KVA monofásico,52 kWh/mes
73,16 KVA monofásico,57 kWh/mes
74,10 KVA trifásico,70 kWh/mes
75,15 KVA trifásico,86 kWh/mes
76,16 KVA trifásico,91 kWh/mes
77,20 KVA trifásico,108 kWh/mes
78,25 KVA trifásico,124 kWh/mes
79,30 KVA trifásico,136 kWh/mes
80,40 KVA trifásico,166 kWh/mes
81,50 KVA trifásico,186 kWh/mes
82,63 KVA trifásico,216 kWh/mes
83,100 KVA trifásico,251 kWh/mes
84,RVICIO DE PEAJE( para Distribuidores Municipales),
85,T - SUMINISTROS EN BAJA TENSIÓN,
86,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
87,CARGO FIJO,"274,73 $/mes"
