,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),Unnamed: 0,"7,5779",$/kWh
0,E - RESIDENCIAL ESTACIONAL,,,
1,CARGO FIJO RE1,,"445,02",$/mes
2,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"5,6278",$/kWh
3,CARGO FIJO RE2,,"511,47",$/mes
4,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"5,9351",$/kWh
5,CARGO FIJO RE3,,"581,23",$/mes
6,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"6,1257",$/kWh
7,CARGO FIJO RE4,,"644,34",$/mes
8,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"6,8231",$/kWh
9,- SERVICIO GENERAL BAJOS CONSUMOS,,,
10,CARGO FIJO GBC,,"455,89",$/mes
11,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"9,1468",$/kWh
12,- SERVICIO GENERAL ALTOS CONSUMOS,,,
13,CARGO FIJO GAC1,,"2.107,19",$/mes
14,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"8,0850",$/kWh
15,CARGO FIJO GAC2,,"2.818,15",$/mes
16,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"8,1033",$/kWh
17,E - SERVICIO GENERAL ESTACIONAL,,,
18,CARGO FIJO GE1,,"770,55",$/mes
19,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"8,1125",$/kWh
20,CARGO FIJO GE2,,"1.813,72",$/mes
21,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"8,1331",$/kWh
22,P - ALUMBRADO PÚBLICO,,,
23,CARGO FIJO,,"222,43",$/factura
24,CARGO VARIABLE,,"7,6915",$/kWh
25,DIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,,
26,T -SUMINISTROS EN BAJA TENSIÓN,,,
27,CARGO FIJO,,"1.332,41",$/mes
28,CARGO POR POTENCIA EN PICO,,"349,00",$/kW-mes
29,CARGO POR POTENCIA FUERA PICO,,"256,06",$/kW-mes
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"5,4526",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"5,1990",$/kWh
32,T - SUMINISTROS EN MEDIA TENSIÓN,,,
33,CARGO FIJO,,"2.018,80",$/mes
34,CARGO POR POTENCIA EN PICO,,"253,07",$/kW-mes
35,CARGO POR POTENCIA FUERA PICO,,"215,01",$/kW-mes
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"5,3304",$/kWh
37,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"5,1277",$/kWh
