,"CARGO POR POTENCIA EN PICO 429,17 $/kW-mes"
0,"CARGO POR POTENCIA FUERA PICO 183,93 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
2,"CARGO FIJO 218,44 $/mes"
3,"CARGO POR POTENCIA EN PICO 136,62 $/kW-mes"
4,"CARGO POR POTENCIA FUERA PICO 58,55 $/kW-mes"
5,GOS VARIABLES
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2445 $/kWh"
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2341 $/kWh"
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2236 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301 $/kWh"
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162 $/kWh"
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2445 $/kWh"
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2341 $/kWh"
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2236 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301 $/kWh"
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162 $/kWh"
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301 $/kWh"
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162 $/kWh"
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301 $/kWh"
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162 $/kWh"
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022 $/kWh"
30,DIST. MUNICIPALES ( Usuarios finales Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda )
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3452 $/kWh"
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3315 $/kWh"
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3176 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301 $/kWh"
36,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162 $/kWh"
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022 $/kWh"
38,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3452 $/kWh"
40,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3315 $/kWh"
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3176 $/kWh"
42,T - SUMINISTROS EN MEDIA TENSIÓN (Nota *)
43,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales)
44,"CARGO FIJO 413,95 $/mes"
45,"CARGO POR POTENCIA EN PICO 284,77 $/kW-mes"
46,"CARGO POR POTENCIA FUERA PICO 122,07 $/kW-mes"
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
48,"CARGO FIJO 330,88 $/mes"
49,"CARGO POR POTENCIA EN PICO 85,11 $/kW-mes"
50,"CARGO POR POTENCIA FUERA PICO 36,48 $/kW-mes"
51,GOS VARIABLES
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
53,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1537 $/kWh"
54,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1471 $/kWh"
55,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1405 $/kWh"
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
57,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075 $/kWh"
58,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987 $/kWh"
59,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899 $/kWh"
60,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
61,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1537 $/kWh"
62,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1471 $/kWh"
63,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1405 $/kWh"
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
65,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075 $/kWh"
66,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987 $/kWh"
67,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
69,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075 $/kWh"
70,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987 $/kWh"
71,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899 $/kWh"
72,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
73,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075 $/kWh"
74,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987 $/kWh"
75,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899 $/kWh"
76,DIST. MUNICIPALES ( Usuarios finales Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda )
77,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2170 $/kWh"
78,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2083 $/kWh"
79,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1996 $/kWh"
80,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
81,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075 $/kWh"
82,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987 $/kWh"
83,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899 $/kWh"
84,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda
85,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2170 $/kWh"
86,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2083 $/kWh"
