,10 KVA trifásico,70 kWh/mes
0,15 KVA trifásico,86 kWh/mes
1,16 KVA trifásico,91 kWh/mes
2,20 KVA trifásico,108 kWh/mes
3,25 KVA trifásico,124 kWh/mes
4,30 KVA trifásico,136 kWh/mes
5,40 KVA trifásico,166 kWh/mes
6,50 KVA trifásico,186 kWh/mes
7,63 KVA trifásico,216 kWh/mes
8,100 KVA trifásico,251 kWh/mes
9,RVICIO DE PEAJE( para Distribuidores Municipales),
10,T - SUMINISTROS EN BAJA TENSIÓN,
11,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
12,CARGO FIJO,"218,44 $/mes"
13,CARGO POR POTENCIA EN PICO,"136,62 $/kW-mes"
14,CARGO POR POTENCIA FUERA PICO,"58,55 $/kW-mes"
15,GOS VARIABLES,
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
17,Consumo en kWH-Mes primeros 150,
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0246 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0246 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0246 $/kWh"
21,Consumo en kWH-Mes siguientes 150,
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1346 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1294 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1241 $/kWh"
25,Consumo en kWH-Mes excedente a 300,
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2445 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2341 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2236 $/kWh"
29,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
30,Consumo en kWH-Mes primeros 150,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0246 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0246 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0246 $/kWh"
34,Consumo en kWH-Mes siguientes 150,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1346 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1294 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1241 $/kWh"
38,Consumo en kWH-Mes excedente a 300,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,2445 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,2341 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,2236 $/kWh"
42,T - SUMINISTROS EN MEDIA TENSIÓN,
43,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
44,CARGO FIJO,"330,88 $/mes"
45,CARGO POR POTENCIA EN PICO,"85,11 $/kW-mes"
46,CARGO POR POTENCIA FUERA PICO,"36,48 $/kW-mes"
47,GOS VARIABLES,
48,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
49,Consumo en kWH-Mes primeros 150,
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0155 $/kWh"
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0155 $/kWh"
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0155 $/kWh"
53,Consumo en kWH-Mes siguientes 150,
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0846 $/kWh"
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0813 $/kWh"
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0780 $/kWh"
57,Consumo en kWH-Mes excedente a 300,
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1537 $/kWh"
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1471 $/kWh"
60,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1405 $/kWh"
61,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
62,Consumo en kWH-Mes primeros 150,
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0155 $/kWh"
64,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0155 $/kWh"
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0155 $/kWh"
66,Consumo en kWH-Mes siguientes 150,
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0846 $/kWh"
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0813 $/kWh"
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0780 $/kWh"
70,Consumo en kWH-Mes excedente a 300,
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1537 $/kWh"
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1471 $/kWh"
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1405 $/kWh"
