,CARGO FIJO,"1.882,77 $/mes"
0,CARGO POR POTENCIA EN PICO,"613,58 $/kW-mes"
1,CARGO POR POTENCIA FUERA PICO,"369,56 $/kW-mes"
2,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
3,CARGO FIJO,"1.654,41 $/mes"
4,CARGO POR POTENCIA EN PICO,"388,82 $/kW-mes"
5,CARGO POR POTENCIA FUERA PICO,"166,64 $/kW-mes"
6,RGOS VARIABLES,
7,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
11,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
15,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
19,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
23,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
27,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
31,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,4348 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,4275 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,4213 $/kWh"
35,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6854 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6778 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6718 $/kWh"
39,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,7028 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6973 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6911 $/kWh"
43,T - SUMINISTROS EN ALTA TENSIÓN,
44,CARGO FIJO,$/mes
45,CARGO POR POTENCIA EN PICO,$/kW-mes
46,CARGO POR POTENCIA FUERA PICO,$/kW-mes
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
50,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
51,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
52,CARGO FIJO T4R1,"619,06 $/mes"
53,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"18,7556 $/kWh"
54,CARGO FIJO T4R2,"795,15 $/mes"
55,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"19,0370 $/kWh"
56,CARGO FIJO T4R3,"969,22 $/mes"
57,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"19,3203 $/kWh"
