,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
18,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
22,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
26,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
30,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9681",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9676",$/kWh
34,T - SUMINISTROS EN MEDIA TENSIÓN,,
35,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
36,CARGO FIJO,"413,95",$/mes
37,CARGO POR POTENCIA EN PICO,"298,14",$/kW-mes
38,CARGO POR POTENCIA FUERA PICO,"127,80",$/kW-mes
39,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
40,CARGO FIJO,"330,88",$/mes
41,CARGO POR POTENCIA EN PICO,"109,69",$/kW-mes
42,CARGO POR POTENCIA FUERA PICO,"47,01",$/kW-mes
43,GOS VARIABLES,,
44,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
48,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
60,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
64,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
68,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
72,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
76,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6087",$/kWh
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6084",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6082",$/kWh
80,T - SUMINISTROS EN ALTA TENSIÓN,,
81,CARGO FIJO,,$/mes
