,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),"5,0662",$/kWh
0,P - ALUMBRADO PÚBLICO,,
1,CARGO FIJO,"165,75",$/factura
2,CARGO VARIABLE,"4,6397",$/kWh
3,DIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,
4,T -SUMINISTROS EN BAJA TENSIÓN,,
5,CARGO FIJO,"992,85",$/mes
6,CARGO POR POTENCIA EN PICO,"270,64",$/kW-mes
7,CARGO POR POTENCIA FUERA PICO,"195,34",$/kW-mes
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,9387",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"2,8143",$/kWh
