,"CARGO POR POTENCIA EN PICO 361,41 $/kW-mes"
0,"CARGO POR POTENCIA FUERA PICO 261,49 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
2,"CARGO FIJO 1.654,41 $/mes"
3,"CARGO POR POTENCIA EN PICO 136,64 $/kW-mes"
4,"CARGO POR POTENCIA FUERA PICO 58,56 $/kW-mes"
5,GOS VARIABLES
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6748 $/kWh"
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5202 $/kWh"
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3647 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 4,9476 $/kWh"
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,7398 $/kWh"
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,5320 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,6748 $/kWh"
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,5202 $/kWh"
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,3647 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 4,9476 $/kWh"
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,7398 $/kWh"
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,5320 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 4,9476 $/kWh"
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,7398 $/kWh"
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,5320 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 4,9476 $/kWh"
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,7398 $/kWh"
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,5320 $/kWh"
30,DIST. MUNICIPALES ( Usuarios Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda )
