,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2445",Unnamed: 0,$/kWh
0,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2341",,$/kWh
1,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2236",,$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
3,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301",,$/kWh
4,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162",,$/kWh
5,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022",,$/kWh
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
7,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2445",,$/kWh
8,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2341",,$/kWh
9,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2236",,$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
11,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301",,$/kWh
12,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162",,$/kWh
13,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022",,$/kWh
14,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
15,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301",,$/kWh
16,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162",,$/kWh
17,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022",,$/kWh
18,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
19,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301",,$/kWh
20,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162",,$/kWh
21,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022",,$/kWh
22,DIST. MUNICIPALES ( Usuarios Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda ),,
23,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3452",,$/kWh
24,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3315",,$/kWh
