,CARGO FIJO,"1.882,77 $/mes"
0,CARGO POR POTENCIA EN PICO,"5 56,55 $/kW-mes"
1,CARGO POR POTENCIA FUERA PICO,"3 45,12 $/kW-mes"
2,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
3,CARGO FIJO,"1.654,41 $/mes"
4,CARGO POR POTENCIA EN PICO,"3 31,78 $/kW-mes"
5,CARGO POR POTENCIA FUERA PICO,"1 42,19 $/kW-mes"
6,GOS VARIABLES,
7,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
11,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
15,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
19,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
23,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
27,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
31,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,6938 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,6865 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,6802 $/kWh"
35,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9444 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9368 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9307 $/kWh"
39,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,9618 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,9563 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,9500 $/kWh"
43,T - SUMINISTROS EN ALTA TENSIÓN,
44,CARGO FIJO,"2.218,54 $/mes"
45,CARGO POR POTENCIA EN PICO,"2 15,35 $/kW-mes"
46,CARGO POR POTENCIA FUERA PICO,"1 47,56 $/kW-mes"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"14,2808 $/kWh"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"14,2738 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"14,2924 $/kWh"
50,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
51,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
52,CARGO FIJO T4R1,"5 22,09 $/mes"
53,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"18,3258 $/kWh"
54,CARGO FIJO T4R2,"6 98,16 $/mes"
55,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"18,5379 $/kWh"
56,CARGO FIJO T4R3,"8 72,20 $/mes"
57,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"18,7468 $/kWh"
58,CARGO FIJO T4R4,"9 97,16 $/mes"
59,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"19,0506 $/kWh"
60,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
61,CARGO FIJO T4NR1,"5 22,09 $/mes"
62,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"18,5096 $/kWh"
