,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
2,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
14,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
18,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
22,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
26,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
30,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9860",$/kWh
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,9855",$/kWh
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,9851",$/kWh
34,T - SUMINISTROS EN MEDIA TENSIÓN,,
35,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
36,CARGO FIJO,"4 13,95",$/mes
37,CARGO POR POTENCIA EN PICO,"2 95,12",$/kW-mes
38,CARGO POR POTENCIA FUERA PICO,"1 26,50",$/kW-mes
39,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
40,CARGO FIJO,"3 30,88",$/mes
41,CARGO POR POTENCIA EN PICO,"1 04,13",$/kW-mes
42,CARGO POR POTENCIA FUERA PICO,"44,63",$/kW-mes
43,GOS VARIABLES,,
44,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
48,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
60,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
64,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
68,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
72,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
76,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,6197",$/kWh
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,6194",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,6191",$/kWh
80,T - SUMINISTROS EN ALTA TENSIÓN,,
81,CARGO FIJO,"6 78,75",$/mes
82,CARGO POR POTENCIA EN PICO,"11,36",$/kW-mes
83,CARGO POR POTENCIA FUERA PICO,"7,48",$/kW-mes
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,0561",$/kWh
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,0561",$/kWh
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,0561",$/kWh
87,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
88,T - SUMINISTROS EN BAJA TENSIÓN,,
89,CARGO FIJO,"7 00,01",$/mes
90,CARGO POR POTENCIA EN PICO,"1 89,92",$/kW-mes
91,CARGO POR POTENCIA FUERA PICO,"81,39",$/kW-mes
92,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1 ,1026",$/kWh
93,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"1 ,1025",$/kWh
94,T - SUMINISTROS EN MEDIA TENSIÓN,,
95,CARGO FIJO,"1.386,77",$/mes
96,CARGO POR POTENCIA EN PICO,"1 16,07",$/kW-mes
97,CARGO POR POTENCIA FUERA PICO,"49,74",$/kW-mes
