,CARGO VARIABLE R1(consumo en kWH-Mes ≤ 100),Unnamed: 0,"3,7806 $/kWh"
0,CARGO FIJO R2,,"142,90 $/mes"
1,CARGO VARIABLE R2 ( 100 < consumo en kWH-Mes ≤ 200),,"4,0272 $/kWh"
2,CARGO FIJO R3,,"194,89 $/mes"
3,CARGO VARIABLE R3 ( 200 < consumo en kWH-Mes ≤ 400),,"4,2130 $/kWh"
4,CARGO FIJO R4,,"241,92 $/mes"
5,CARGO VARIABLE R4 ( 400 < consumo en kWH-Mes ≤ 500),,"4,3602 $/kWh"
6,CARGO FIJO R5,,"387,98 $/mes"
7,CARGO VARIABLE R5 ( 500 < consumo en kWH-Mes ≤ 700),,"4,5928 $/kWh"
8,CARGO FIJO R6,,"628,10 $/mes"
9,CARGO VARIABLE R6 ( 700 < consumo en kWH-Mes ≤ 1400),,"4,8388 $/kWh"
10,CARGO FIJO R7,,"766,73 $/mes"
11,CARGO VARIABLE R7(consumo en kWH-Mes > 1400),,"5,2414 $/kWh"
12,E - RESIDENCIAL ESTACIONAL,,
13,CARGO FIJO RE1,,"331,61 $/mes"
14,CARGO VARIABLE RE1 (consumo en kWH-Mes ≤ 500),,"3,9688 $/kWh"
15,CARGO FIJO RE2,,"381,12 $/mes"
16,CARGO VARIABLE RE2 ( 500 < consumo en kWH-Mes ≤ 700),,"4,1834 $/kWh"
17,CARGO FIJO RE3,,"433,11 $/mes"
18,CARGO VARIABLE RE3 ( 700 < consumo en kWH-Mes ≤ 1400),,"4,3000 $/kWh"
19,CARGO FIJO RE4,,"480,13 $/mes"
20,CARGO VARIABLE RE4 (consumo en kWH-Mes > 1400),,"4,8739 $/kWh"
21,- SERVICIO GENERAL BAJOS CONSUMOS,,
22,CARGO FIJO GBC,,"339,71 $/mes"
23,CARGO VARIABLE GBC (consumo en kWH-Mes ≤ 1000),,"5,7145 $/kWh"
24,- SERVICIO GENERAL ALTOS CONSUMOS,,
25,CARGO FIJO GAC1,,"1.586,91 $/mes"
26,CARGO VARIABLE  ( 1000 < consumo en kWH-Mes < 2000),,"4,9066 $/kWh"
27,CARGO FIJO GAC2,,"2.116,68 $/mes"
28,CARGO VARIABLE  (  consumo en kWH-Mes >= 2000),,"4,9202 $/kWh"
29,E - SERVICIO GENERAL ESTACIONAL,,
30,CARGO FIJO GE1,,"574,18 $/mes"
31,CARGO VARIABLE GE1 ( 0 < consumo en kWH-Mes < 2000),,"5,0509 $/kWh"
32,CARGO FIJO GE2,,"1.351,51 $/mes"
33,CARGO VARIABLE GE2 (  consumo en kWH-Mes >= 2000),,"5,0662 $/kWh"
34,P - ALUMBRADO PÚBLICO,,
35,CARGO FIJO,,"165,75 $/factura"
36,CARGO VARIABLE,,"4,6397 $/kWh"
37,DIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),,
38,T -SUMINISTROS EN BAJA TENSIÓN,,
39,CARGO FIJO,,"992,85 $/mes"
40,CARGO POR POTENCIA EN PICO,,"270,64 $/kW-mes"
41,CARGO POR POTENCIA FUERA PICO,,"195,34 $/kW-mes"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"2,9387 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"2,8143 $/kWh"
44,T - SUMINISTROS EN MEDIA TENSIÓN,,
45,CARGO FIJO,,"1.504,32 $/mes"
46,CARGO POR POTENCIA EN PICO,,"198,70 $/kW-mes"
47,CARGO POR POTENCIA FUERA PICO,,"164,56 $/kW-mes"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,"2,8754 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,,"2,7873 $/kWh"
50,ANDES DEMANDAS,,
51,T - SUMINISTROS EN BAJA TENSIÓN,,
52,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
53,CARGO FIJO,,"962,99 $/mes"
54,CARGO POR POTENCIA EN PICO,,"365,18 $/kW-mes"
55,CARGO POR POTENCIA FUERA PICO,,"235,89 $/kW-mes"
56,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
57,CARGO FIJO,,"813,64 $/mes"
58,CARGO POR POTENCIA EN PICO,,"157,37 $/kW-mes"
