,CARGO POR POTENCIA EN PICO,"282,72 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"200,60 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"1.232,79 $/mes"
3,CARGO POR POTENCIA EN PICO,"115,23 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"49,39 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3082 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2163 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1244 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,3082 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,2163 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,1244 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,5901 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,4888 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,3875 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,8164 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,8112 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,8060 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,7768 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,6753 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,5742 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"9,0161 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"9,0122 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"9,0070 $/kWh"
42,T - SUMINISTROS EN ALTA TENSIÓN,
43,CARGO FIJO,"1.653,16 $/mes"
44,CARGO POR POTENCIA EN PICO,"51,68 $/kW-mes"
45,CARGO POR POTENCIA FUERA PICO,"37,43 $/kW-mes"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,5911 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,5861 $/kWh"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,5995 $/kWh"
49,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
50,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
51,CARGO FIJO T4R1,"389,04 $/mes"
52,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"3,6882 $/kWh"
53,CARGO FIJO T4R2,"520,23 $/mes"
54,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"3,8463 $/kWh"
55,CARGO FIJO T4R3,"649,93 $/mes"
56,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"4,0019 $/kWh"
57,CARGO FIJO T4R4,"743,04 $/mes"
58,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"4,2283 $/kWh"
59,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
60,CARGO FIJO T4NR1,"389,04 $/mes"
61,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"4,1059 $/kWh"
62,CARGO FIJO T4NR2,"520,23 $/mes"
63,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"4,2966 $/kWh"
64,CARGO FIJO T4NR3,"649,93 $/mes"
65,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"4,4836 $/kWh"
66,CARGO FIJO T4NR4,"743,04 $/mes"
67,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"4,7674 $/kWh"
68,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
69,5 KVA monofásico,27 kWh/mes
70,10 KVA monofásico,43 kWh/mes
71,15 KVA monofásico,52 kWh/mes
72,16 KVA monofásico,57 kWh/mes
73,10 KVA trifásico,70 kWh/mes
74,15 KVA trifásico,86 kWh/mes
75,16 KVA trifásico,91 kWh/mes
