,Tarifa 1 - R1,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,Cargo Fijo,,$/mes,"190,53"
1,Cargo Variable,,$/kWh,"18,2369"
2,Tarifa 1 - R2,,,
3,Cargo Fijo 151-325,,$/mes,"613,54"
4,Cargo Variable 151-325,,$/kWh,"17,9195"
5,Cargo Fijo 326-400,,$/mes,"690,09"
6,Cargo Variable 326-400,,$/kWh,"17,9635"
7,Cargo Fijo 401-450,,$/mes,"825,05"
8,Cargo Variable 401-450,,$/kWh,"18,1147"
9,Cargo Fijo 451-500,,$/mes,"923,26"
10,Cargo Variable 451-500,,$/kWh,"18,1984"
11,Cargo Fijo 501-600,,$/mes,"1.330,70"
12,Cargo Variable 501-600,,$/kWh,"18,5491"
13,Cargo Fijo 601-700,,$/mes,"1.707,52"
14,Cargo Variable 601-700,,$/kWh,"18,8126"
15,Cargo Fijo 701-1400,,$/mes,"2.318,72"
16,Cargo Variable 701-1400,,$/kWh,"18,9783"
17,Cargo Fijo +1400,,$/mes,"2.717,46"
18,Cargo Variable +1400,,$/kWh,"19,0126"
19,Tarifa 1 - G1,,,
20,Cargo Fijo,,$/mes,"542,04"
21,Cargo Variable,,$/kWh,"19,6831"
22,Tarifa 1 - G2,,,
23,Cargo Fijo,,$/mes,"3.959,69"
24,Cargo Variable,,$/kWh,"19,1978"
25,Tarifa 1 - G3,,,
26,Cargo Fijo,,$/mes,"10.884,08"
27,Cargo Variable,,$/kWh,"18,7935"
28,Tarifa 1 - AP,,,
29,Cargo Variable,,$/kWh,"19,3771"
30,Tarifa 2,,,
31,Cargo por Potencia,,$/kW-mes,"867,03"
32,Cargo Variable,,$/kWh,"18,6323"
33,Tarifa 3 - BT  < 300 kW,,,
34,Cargo Pot. Pico,,$/kW-mes,"871,70"
35,Cargo Pot. F. Pico,,$/kW-mes,"394,17"
36,Cargo Variable Pico,,$/kWh,"16,7505"
37,Cargo Variable Resto,,$/kWh,"16,7422"
38,Cargo Variable Valle,,$/kWh,"16,7351"
39,Tarifa 3 - MT < 300 kW,,,
40,Cargo Pot. Pico,,$/kW-mes,"707,31"
41,Cargo Pot. F. Pico,,$/kW-mes,"293,13"
42,Cargo Variable Pico,,$/kWh,"15,1410"
43,Cargo Variable Resto,,$/kWh,"15,1336"
44,Cargo Variable Valle,,$/kWh,"15,1271"
