,TABLA DE PERDIDAS DE TRANSFORMACIÓN USUARIOS RURALES,Unnamed: 0,Unnamed: 1
0,5 KVA monofásico,kWh/mes,27
1,10 KVA monofásico,kWh/mes,43
2,15 KVA monofásico,kWh/mes,52
3,16 KVA monofásico,kWh/mes,57
4,10 KVA trifásico,kWh/mes,70
5,15 KVA trifásico,kWh/mes,86
6,16 KVA trifásico,kWh/mes,91
7,20 KVA trifásico,kWh/mes,108
8,25 KVA trifásico,kWh/mes,124
9,30 KVA trifásico,kWh/mes,136
10,40 KVA trifásico,kWh/mes,166
11,50 KVA trifásico,kWh/mes,186
12,63 KVA trifásico,kWh/mes,216
13,100 KVA trifásico,kWh/mes,251
