,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,1830",$/kWh
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,1778",$/kWh
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,1726",$/kWh
2,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"12,2017",$/kWh
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"12,1973",$/kWh
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"12,1916",$/kWh
6,T - SUMINISTROS EN ALTA TENSIÓN,,
7,CARGO FIJO,,$/mes
8,CARGO POR POTENCIA EN PICO,,$/kW-mes
9,CARGO POR POTENCIA FUERA PICO,,$/kW-mes
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,$/kWh
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,,$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,,$/kWh
13,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),,
14,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,,
15,CARGO FIJO T4R1,"665,39",$/mes
16,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"15,5672",$/kWh
17,CARGO FIJO T4R2,"891,61",$/mes
18,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"15,8349",$/kWh
