,CARGO POR POTENCIA EN PICO,"582,99 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"333,25 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"279,73 $/mes"
3,CARGO POR POTENCIA EN PICO,"194,74 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"88,86 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
28,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
30,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7577 $/kWh"
32,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7574 $/kWh"
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7571 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7578 $/kWh"
36,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7575 $/kWh"
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7572 $/kWh"
38,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7580 $/kWh"
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,7576 $/kWh"
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,7574 $/kWh"
42,T - SUMINISTROS EN MEDIA TENSIÓN,
43,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
44,CARGO FIJO,"530,10 $/mes"
45,CARGO POR POTENCIA EN PICO,"366,68 $/kW-mes"
46,CARGO POR POTENCIA FUERA PICO,"240,25 $/kW-mes"
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
48,CARGO FIJO,"423,73 $/mes"
49,CARGO POR POTENCIA EN PICO,"120,65 $/kW-mes"
50,CARGO POR POTENCIA FUERA PICO,"51,70 $/kW-mes"
51,GOS VARIABLES,
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
60,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
72,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
76,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
