,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"5,5006 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"5,2923 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"5,0809 $/kWh"
2,T - SUMINISTROS EN MEDIA TENSIÓN (Nota *),
3,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
4,CARGO FIJO,"2.411,01 $/mes"
5,CARGO POR POTENCIA EN PICO,"465,02 $/kW-me"
6,CARGO POR POTENCIA FUERA PICO,"335,85 $/kW-me"
7,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
8,CARGO FIJO,"2.118,59 $/mes"
9,CARGO POR POTENCIA EN PICO,"155,14 $/kW-me"
10,CARGO POR POTENCIA FUERA PICO,"66,49 $/kW-me"
11,GOS VARIABLES,
12,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,6188 $/kWh"
14,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4649 $/kWh"
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3099 $/kWh"
16,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,8865 $/kWh"
18,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,6796 $/kWh"
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,4726 $/kWh"
20,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,6188 $/kWh"
22,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4649 $/kWh"
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3099 $/kWh"
24,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,8865 $/kWh"
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,6796 $/kWh"
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,4726 $/kWh"
28,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,8865 $/kWh"
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,6796 $/kWh"
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,4726 $/kWh"
32,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,8865 $/kWh"
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,6796 $/kWh"
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,4726 $/kWh"
36,DIST. MUNICIPALES ( Usuarios Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda ),
37,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"5,1101 $/kWh"
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,9063 $/kWh"
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,7004 $/kWh"
40,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
41,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"5,1297 $/kWh"
